,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
5571,1,Mariah Carey,We Belong Together,2005,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
5572,2,Gwen Stefani,Hollaback Girl,2005,4yiQZ8tQPux8cPriYMWUFP,dance pop,2422642,https://i.scdn.co/image/4fe59ef5ccbfa630a9acf3986e55599c2a5bb289
5573,3,Mario,Let Me Love You,2005,20s0P9QLxGqKuCsGwFsp7w,dance pop,1125440,https://i.scdn.co/image/a593e0c76214f57c8e321b9adf9169452c823e5e
5574,4,Kelly Clarkson,Since U Been Gone,2005,3BmGtnKgCSGYIUhmivXKWX,dance pop,3811773,https://i.scdn.co/image/0e874611a108fcd361c92a665a991ba18a852050
5575,5,Ciara feat. Missy Elliott,"1, 2 Step",2005,2NdeV5rLm47xAvogXrYhJX,dance pop,3285485,https://i.scdn.co/image/26da3944201bfadf0095bd6b469bb8e9f53b81e1
5576,6,Kanye West feat. Jamie Foxx,Gold Digger,2005,5K4W6rqBFWDnAN6FQUkS6x,pop rap,8429838,https://i.scdn.co/image/a12d8543e28d71d9f1e7f5f363c1a6c73316f9e6
5577,7,Green Day,Boulevard of Broken Dreams,2005,7oPftvlwr6VrsViSDV7fJY,permanent wave,7319901,https://i.scdn.co/image/b6a3f82183adb83b6e47cb22afc25724b241d038
5578,8,50 Cent feat. Olivia,Candy Shop,2005,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop,4523803,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
5579,9,The Pussycat Dolls feat. Busta Rhymes,Don't Cha,2005,6wPhSqRtPu1UhRCDX5yaDJ,australian pop,2173601,https://i.scdn.co/image/060a9902405c45a56a9544413c47e6928c3da262
5580,10,Kelly Clarkson,Behind These Hazel Eyes,2005,3BmGtnKgCSGYIUhmivXKWX,dance pop,3811773,https://i.scdn.co/image/0e874611a108fcd361c92a665a991ba18a852050
5581,11,50 Cent,Disco Inferno,2005,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop,4523803,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
5582,12,Lifehouse,You and Me,2005,5PokPZn11xzZXyXSfnvIM3,alternative metal,925763,https://i.scdn.co/image/b90520afddd505ed4cb27e7a43f74cbb127b4b66
5583,13,The Black Eyed Peas,Don't Phunk With My Heart,2005,1yxSLGMDHlW21z4YXirZDS,dance pop,2798102,https://i.scdn.co/image/8187a0a248d8d17c6fbec79f8fdc2aa87a953369
5584,14,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control,2005,2wIVse2owClT7go1WT98tk,dance pop,853708,https://i.scdn.co/image/055260c034b93dae018b8cd70bc9f1acc2843af3
5585,15,Mariah Carey,Shake it Off,2005,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
5586,16,The Killers,Mr. Brightside,2005,0C0XlULifJtAgn6ZNCW2eu,indie rock,3869881,https://i.scdn.co/image/a841f0ee4f2d88c42f55f76c2cc6b588841f5d2f
5587,17,50 Cent,Just a Lil Bit,2005,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop,4523803,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
5588,18,Rihanna,Pon de Replay,2005,5pKCCKE2ajJHZ9KAiaK11H,dance pop,26863721,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
5589,19,The Game feat. 50 Cent,How We Do,2005,0NbfKEOTQCcwd6o7wSDOHI,dirty south rap,1585438,https://i.scdn.co/image/7e370d02207a01caef5ad536a6702037b7e7a9f3
5590,20,Weezer,Beverly Hills,2005,3jOstUTkEu2JkjvRdBA5Gu,alternative rock,1352594,https://i.scdn.co/image/2d9c08427ea2ffd4ae8a16ad5f0c39fd4d91c0be
5591,21,Ciara feat. Ludacris,Oh,2005,2NdeV5rLm47xAvogXrYhJX,dance pop,3285485,https://i.scdn.co/image/26da3944201bfadf0095bd6b469bb8e9f53b81e1
5592,22,Rob Thomas,Lonely No More,2005,3aBkeBhwadnWMWoVJ2CxJC,acoustic pop,295419,https://i.scdn.co/image/70be9bf5a5969db804f0250abb215e4e8c8a9d31
5593,23,Snoop Dogg feat. Pharrell,Drop it Like It's Hot,2005,7hJcb9fa4alzcOq3EaNPoG,g funk,3748013,https://i.scdn.co/image/b6110a0ff25000578e4bd1bbd72ad6efaa5d6b4e
5594,24,The Game feat. 50 Cent,Hate It or Love It,2005,0NbfKEOTQCcwd6o7wSDOHI,dirty south rap,1585438,https://i.scdn.co/image/7e370d02207a01caef5ad536a6702037b7e7a9f3
5595,25,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends,2005,7sfl4Xt5KmfyDs2T3SVSMK,crunk,684227,https://i.scdn.co/image/ab976e368187909123518fcceefbfbab44ae6d3c
5596,26,Destiny's Child feat. T.I. and Lil Wayne,Soldier,2005,1Y8cdNmUJH7yBTd9yOvr5i,dance pop,2585616,https://i.scdn.co/image/09e0720e919c908765aa64678a6ad8aac37659f6
5597,27,Kelly Clarkson,Breakaway,2005,3BmGtnKgCSGYIUhmivXKWX,dance pop,3811773,https://i.scdn.co/image/0e874611a108fcd361c92a665a991ba18a852050
5598,28,Will Smith,Switch,2005,41qil2VaGbD194gaEcmmyx,dance pop,419667,https://i.scdn.co/image/2b3b3464739b0a79bd505a4822205cd4c7479295
5599,29,Bow Wow feat. Omarion,Let Me HOld You,2005,7352aRY2mqSxBZwzUb6LmA,dance pop,486657,https://i.scdn.co/image/f67a804bc8323d2b5bf616926561a072649f15e4
5600,30,Bow Wow feat. Ciara,Like You,2005,7352aRY2mqSxBZwzUb6LmA,dance pop,486657,https://i.scdn.co/image/f67a804bc8323d2b5bf616926561a072649f15e4
5601,31,Gwen Stefani feat. Eve,Rich Girl,2005,4yiQZ8tQPux8cPriYMWUFP,dance pop,2422642,https://i.scdn.co/image/4fe59ef5ccbfa630a9acf3986e55599c2a5bb289
5602,32,The Black Eyed Peas,My Humps,2005,1yxSLGMDHlW21z4YXirZDS,dance pop,2798102,https://i.scdn.co/image/8187a0a248d8d17c6fbec79f8fdc2aa87a953369
5603,33,Frankie J feat. Baby Bash,Obsession (No Es Amor),2005,3sMYEBy0CZFxedcnm9i9hf,dance pop,212324,https://i.scdn.co/image/1490d7b080d833f754ed366cb703cdfaa4042547
5604,34,Usher,Caught Up,2005,23zg3TcAtWQy7J6upgbUnj,dance pop,6470439,https://i.scdn.co/image/2b6609f142389ae1505fd090db3861eb34ce2e13
5605,35,D.H.T.,Listen to your Heart,2005,1eAJ2GrxUU5nJYEqaxQWvW,eurodance,2693,https://i.scdn.co/image/6e43f8298d03c8401f868b8a4e31b968c0ac0892
5606,36,Papa Roach,Scars,2005,4RddZ3iHvSpGV4dvATac9X,alternative metal,2227177,https://i.scdn.co/image/a68ae1bf3939e1cb7d0dcc492f4e54a6a78de1c0
5607,37,Gorillaz,Feel Good Inc,2005,3AA28KZvwAUcZuOKwyblJQ,alternative hip hop,3366340,https://i.scdn.co/image/fa3734a1c2e10634172434d45952da7bc1203bf0
5608,38,3 Doors Down,Let Me Go,2005,2RTUTCvo6onsAnheUk3aL9,alternative metal,1768190,https://i.scdn.co/image/b6bde9a790ba351ba6304519df301ff909a69550
5609,39,Green Day,Holiday,2005,7oPftvlwr6VrsViSDV7fJY,permanent wave,7319901,https://i.scdn.co/image/b6a3f82183adb83b6e47cb22afc25724b241d038
