,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
3574,1,Wham!,Careless Whisper,1985,5lpH0xAS4fVfLkACg9DAuM,dance rock,476262,https://i.scdn.co/image/028bf41acbd7858a4a8acf688a392d4ee9e369ef
3575,2,Madonna,Like A Virgin,1985,6tbjWDEIzxoDsBA1FuhfPW,dance pop,2487563,https://i.scdn.co/image/19cf1c640fdaf39577fa07ad111d51cb1bc78216
3576,3,Wham!,Wake Me Up Before You Go-Go,1985,5lpH0xAS4fVfLkACg9DAuM,dance rock,476262,https://i.scdn.co/image/028bf41acbd7858a4a8acf688a392d4ee9e369ef
3577,4,Foreigner,I Want To Know What Love Is,1985,6IRouO5mvvfcyxtPDKMYFN,album rock,878108,https://i.scdn.co/image/ceefab9f38c139ad72b5fa2abc21ed9cb597f585
3578,5,Chaka Khan,I Feel For You,1985,6mQfAAqZGBzIfrmlZCeaYT,disco,539912,https://i.scdn.co/image/50982ce22ac38c9fdb6b05552e6e0b80ead3808d
3579,6,Daryl Hall and John Oates,Out Of Touch,1985,77tT1kLj6mCWtFNqiOmP9H,album rock,594682,https://i.scdn.co/image/eeab05fe8e7333d75cb4b7484ec77032a632b17c
3580,7,Tears For Fears,Everybody Wants To Rule The World,1985,4bthk9UfsYUYdcFyqxmSUU,art rock,823324,https://i.scdn.co/image/bc544c27be5e8b1f6b555ee3e9ad14e4be972a18
3581,8,Dire Straits,Money For Nothing,1985,0WwSkZ7LtFUFjGjMZBMt6T,album rock,1610626,https://i.scdn.co/image/54a86ecf1de16b17e2ed000a9ca8a1590c9a3b80
3582,9,Madonna,Crazy For You,1985,6tbjWDEIzxoDsBA1FuhfPW,dance pop,2487563,https://i.scdn.co/image/19cf1c640fdaf39577fa07ad111d51cb1bc78216
3583,10,A-Ha,Take On Me,1985,2jzc5TC5TVFLXQlBNiIUzE,dance rock,600475,https://i.scdn.co/image/ccdcf8c4962d103bde7a20a70669febc9cf7a48b
3584,11,Paul Young,Everytime You Go Away,1985,6rqU9HQ57NYGBnBzbrY3a4,album rock,225726,https://i.scdn.co/image/fe3b4a1cf19d63a030ffc7d7437201b38a0c6e72
3585,12,Phil Collins and Philip Bailey,Easy Lover,1985,4lxfqrEsLX6N1N4OCSkILp,mellow gold,1409484,https://i.scdn.co/image/31fbe64783eb5d493161640bd599dceafc615c6d
3586,13,REO Speedwagon,Can't Fight This Feeling,1985,55vs7NT1KxcFjbMC4y202E,album rock,625378,https://i.scdn.co/image/48cde7a2bf0308246e754ce2a7e7a81a0a102996
3587,14,Starship,We Built This City,1985,0kObWap02DEg9EAJ3PBxzf,album rock,259711,https://i.scdn.co/image/db74da1373e8962671878aa692ce010e7dd4816a
3588,15,Huey Lewis and The News,The Power Of Love,1985,7A9yZMTrFZcgEWAX2kBfK6,album rock,393187,https://i.scdn.co/image/5e6a5f0ea60ffb1737da92571f7413d826f7b884
3589,16,Simple Minds,Don't You (Forget About Me),1985,6hN9F0iuULZYWXppob22Aj,art rock,551122,https://i.scdn.co/image/52c4046d07fee12fd2bc6fc00e3d3729cd336b6e
3590,17,Kool and The Gang,Cherish,1985,3VNITwohbvU5Wuy5PC6dsI,disco,724132,https://i.scdn.co/image/60546a9f9a406f1a553601b699aab0e133395d3f
3591,18,John Parr,St. Elmo's Fire (Man In Motion),1985,3Z1tibPKhUYWCno0IYicCN,new wave pop,18746,https://i.scdn.co/image/f9a5dd18cc18cb766ee81f3c11baefd0a3845e22
3592,19,Glenn Frey,The Heat Is On,1985,3vMWY1bUrmYoSoEWLiQWOZ,album rock,146031,https://i.scdn.co/image/12bf749650a37e56df392f3eee23c8e1b2058eb5
3593,20,U.S.A. For Africa,We Are The World,1985,7sF6m3PpW6G6m6J2gzzmzM,unassigned,5545,https://i.scdn.co/image/9ffcca8be7cb2da41cfe45958cbe8724c8cd6d24
3594,21,Tears For Fears,Shout,1985,4bthk9UfsYUYdcFyqxmSUU,art rock,823324,https://i.scdn.co/image/bc544c27be5e8b1f6b555ee3e9ad14e4be972a18
3595,22,Stevie Wonder,Part-Time Lover,1985,7guDJrEfX3qb6FEbdPA5qi,disco,3008626,https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108
3596,23,Whitney Houston,Saving All My Love For You,1985,6XpaIBNiVzIetEPCWDvAFP,dance pop,3206503,https://i.scdn.co/image/cef7e2b0709802736d9e6f7b1970403265c88271
3597,24,Bryan Adams,Heaven,1985,3Z02hBLubJxuFJfhacLSDc,album rock,843151,https://i.scdn.co/image/221676462fd9e40847b9ccb4697cdd201dcc891b
3598,25,Wham!,Everything She Wants,1985,5lpH0xAS4fVfLkACg9DAuM,dance rock,476262,https://i.scdn.co/image/028bf41acbd7858a4a8acf688a392d4ee9e369ef
3599,26,New Edition,Cool It Now,1985,1mFX1QlezK1lNPKQJkhwWb,boy band,538144,https://i.scdn.co/image/44e1b32aa085bd943fabd36678804d3fd3b8fb67
3600,27,Jan Hammer,Miami Vice Theme,1985,50zRydJXfkLzGIOj9mITfy,unassigned,19683,https://i.scdn.co/image/357006def28d46afdb2fcff31bf8f6b69f2fdc32
3601,28,Billy Ocean,Lover Boy,1985,5IDs1CK15HegSAhGEbSYXo,dance rock,254048,https://i.scdn.co/image/52a8c4693a2ac9af54dec776c225fe57ceb4160f
3602,29,Teena Marie,Lover Girl,1985,61UT1Zj9dFgPAjZfwnsqsb,classic soul,200967,https://i.scdn.co/image/a9b9bec541637d4391f0f418c16354d60781d18a
3603,30,Glenn Frey,You Belong To The City,1985,3vMWY1bUrmYoSoEWLiQWOZ,album rock,146031,https://i.scdn.co/image/12bf749650a37e56df392f3eee23c8e1b2058eb5
3604,31,Ready For The World,Oh Sheila,1985,6h29EZDlc2NTvmCUe4yoXV,boy band,124962,https://i.scdn.co/image/90a9922c847ec1a5f76fc7e7c3d649f42596f820
3605,32,Debarge,Rhythm Of The Night,1985,6is2U7I1jlI8PjxNZOHIMV,disco,166499,https://i.scdn.co/image/35dc75a6db113801e5798d29fb6e4ac35125e5d0
3606,33,Phil Collins,One More Night,1985,4lxfqrEsLX6N1N4OCSkILp,mellow gold,1409484,https://i.scdn.co/image/31fbe64783eb5d493161640bd599dceafc615c6d
3607,34,Honeydrippers,Sea Of Love,1985,7J7YRBSoiXpdTmcbkKZL2C,unassigned,9180,https://i.scdn.co/image/d311a7873b1398a9857829d079c4bd3052cab7f6
3608,35,Duran Duran,A View To A Kill,1985,0lZoBs4Pzo7R89JM9lxwoT,dance rock,865708,https://i.scdn.co/image/2e6d5966dafa119f4a75e7df62ffa163e0d861cd
3609,36,Duran Duran,The Wild Boys,1985,0lZoBs4Pzo7R89JM9lxwoT,dance rock,865708,https://i.scdn.co/image/2e6d5966dafa119f4a75e7df62ffa163e0d861cd
3610,37,Chicago,You're The Inspiration,1985,3iDD7bnsjL9J4fO298r0L0,album rock,865156,https://i.scdn.co/image/678188c357e1b58e8a9ca28c34e11bf8d51ff2cf
