,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
1256,79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),1961,6dIOTeSQDBSR6gwsL0WB2n,merseybeat,8890,https://i.scdn.co/image/a69b432a2d8bf489ac8baf98cbc4dbd839044e2e
1257,80,Connie Francis,Breakin' In A Brand New Broken Heart,1961,3EY5DxGdy7x4GelivOjS2Q,adult standards,103821,https://i.scdn.co/image/8bdcb1cc65a0ca1d54018e308bd2471e9c4820ce
1258,81,Shirelles,Mama Said,1961,0x83OBqixqdCHnStP5VMcn,adult standards,92177,https://i.scdn.co/image/9a51fe462a957dfe6b25a65a08bafcfcbbf5e673
1259,82,Fats Domino,Let The Four Winds Blow,1961,09C0xjtosNAIXP36wTnWxd,adult standards,174905,https://i.scdn.co/image/795ae538a48341d36523c1644b0da31a542db7e5
1260,83,Adam Wade,The Writing On The Wall,1961,1rBtwsSkGLKYGhL5yj98Wd,deep adult standards,158,https://i.scdn.co/image/d16586b14e924d034b005e74a2b3665e303bf847
1261,84,Matt Monro,My Kind Of Girl,1961,06kr5yNAM2rOf4DXemM8fl,adult standards,92087,https://i.scdn.co/image/9287eed2acb001e30e18d7a8cd515e8f0d0a6277
1262,85,Paul Anka,"Tonight My Love, Tonight",1961,7ceUfdWq2t5nbatS6ollHh,adult standards,166297,https://i.scdn.co/image/2cf68a5624e8a646d51760740d83be8a3361cb71
1263,86,Jimmy Dean,Big Bad John,1961,1RaDKTFXuy0qA8YV1h9SwC,country gospel,23595,https://i.scdn.co/image/a479f05e054763e9cbff562b867edc10ccd05777
1264,87,Bobby Rydell,Good Time Baby,1961,4hJTgr1adnhIkhmD9jLzd6,adult standards,23680,https://i.scdn.co/image/1207ec58c499aa2f4ef27366bbaae0d45a4040ac
1265,88,Floyd Cramer,San Antonio Rose,1961,6DQ6mdEhxCgHPqfX1niZZK,christmas,6881,https://i.scdn.co/image/8d02664448c5b8d6ede597cd772f33be4f9afbdc
1266,89,Bobby Vee,Rubber Ball,1961,5MX2l6ewjOaeWn1lYNhzlO,adult standards,61568,https://i.scdn.co/image/b7b3441a818ee3b20644e656b721b7fc251e7744
1267,90,Ray Peterson,Missing You,1961,7BDI9Iqt24gl4RGdS6hWs9,adult standards,7279,https://i.scdn.co/image/753ffe6154f5ceb29954da2874e4ecd20ce24778
1268,91,Brenda Lee,Dum Dum,1961,4cPHsZM98sKzmV26wlwD2W,adult standards,91160,https://i.scdn.co/image/89b621a2e71bab75d221c6125cab4d257db8abdf
1269,92,Eddie Hodges,I'm Gonna Knock On Your Door,1961,3JJYPOCM13Id9iZHtkwkI5,unassigned,900,https://i.scdn.co/image/f58ed520d62e83a792a92d6ad2c033f5608c1135
1270,93,Brenda Lee,You Can Depend On Me,1961,4cPHsZM98sKzmV26wlwD2W,adult standards,91160,https://i.scdn.co/image/89b621a2e71bab75d221c6125cab4d257db8abdf
1271,94,Chubby Checker,Let's Twist Again,1961,7qQJQ3YtcGlqaLg5tcypN2,adult standards,92037,https://i.scdn.co/image/4b719e0ecea3eb92d294b838db79874318f35da1
1272,95,Dave Brubeck,Take Five,1961,4iRZAbYvBqnxrbs6K25aJ7,bebop,71627,https://i.scdn.co/image/b6f7dc3c16f95e6df120af205d4007f518b01e0e
1273,96,Elvis Presley,Are You Lonesome Tonight,1961,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
1274,97,Don Gibson,Sea Of Heartbreak,1961,4xcYVPssil6vbG6tq3W43S,country gospel,23982,https://i.scdn.co/image/0103280aa67c4058e80b437fd2283948adfc1376
1275,98,Four Preps,More Money For You And Me Medley,1961,5MsnoFODDc5nxWrjm99Zew,christmas,3103,https://i.scdn.co/image/ccb8a0422e2d5542cbc36230590d8ad0f7c39989
1276,99,Bobby Darin,You Must Have Been A Beautiful Baby,1961,0EodhzA6yW1bIdD5B4tcmJ,adult standards,158159,https://i.scdn.co/image/ae8a8b9d9b6a35f00b87fdae31f46db6a13fcd0e
1277,100,Drifters,Please Stay,1961,1FqqOl9itIUpXr4jZPIVoT,adult standards,169341,https://i.scdn.co/image/9cebb08480116550d85b6268d9adb1c2aee718f7
