,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
5871,1,Flo Rida feat. T-Pain,Low,2008,0jnsk9HBra6NMjO2oANoPY,dance pop,6331281,https://i.scdn.co/image/2d0b5f483c7ed95b7c3c63147c3d38f9366b2c21
5872,2,Leona Lewis,Bleeding Love,2008,5lKZWd6HiSCLfnDGrq9RAm,australian pop,1332121,https://i.scdn.co/image/00edc3117a942b34040046a637202d409aed3305
5873,3,Alicia Keys,No One,2008,3DiDSECUqqY1AuBP8qtaIa,hip pop,5116648,https://i.scdn.co/image/05e25d030a1caa1611b1e7248d89b557d9867258
5874,4,Lil Wayne feat. Static Major,Lollipop,2008,55Aa2cqylxrFIXC767Z865,hip hop,6519017,https://i.scdn.co/image/018153d1b9a3e60e970e5f9b0ae3e028ed980f0f
5875,5,Timbaland feat. OneRepublic,Apologize,2008,5Y5TRrQiqgUO4S36tzjIRZ,dance pop,1143201,https://i.scdn.co/image/71e2c7a1026d3a2397ae7ee08797a95d9a16c19f
5876,6,Jordin Sparks With Chris Brown,No Air,2008,2AQjGvtT0pFYfxR3neFcvz,dance pop,919081,https://i.scdn.co/image/cd7dd075376199bbeacd472734712ed35c6e6ea7
5877,7,Sara Bareilles,Love Song,2008,2Sqr0DXoaYABbjBo9HaMkM,acoustic pop,951046,https://i.scdn.co/image/96125fbae4603b651e2122a153741e6d77df5116
5878,8,Usher feat. Young Jeezy,Love In This Club,2008,23zg3TcAtWQy7J6upgbUnj,dance pop,6470439,https://i.scdn.co/image/2b6609f142389ae1505fd090db3861eb34ce2e13
5879,9,Chris Brown,With You,2008,7bXgB6jMjp9ATFy66eO08Z,dance pop,7050001,https://i.scdn.co/image/dd72e5f293cdd39a6f35a7a790d58a5a8922d84e
5880,10,Chris Brown,Forever,2008,7bXgB6jMjp9ATFy66eO08Z,dance pop,7050001,https://i.scdn.co/image/dd72e5f293cdd39a6f35a7a790d58a5a8922d84e
5881,11,Ray J and Yung Berg,Sexy Can I,2008,6gbGGM0E8Q1hE511psqxL0,dance pop,538359,https://i.scdn.co/image/4326f63423f49ba204dab0153216ca5b333103c8
5882,12,Rihanna,Take A Bow,2008,5pKCCKE2ajJHZ9KAiaK11H,dance pop,26863721,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
5883,13,Coldplay,Viva La Vida,2008,4gzpq5DPGxSnKTe4SA8HAU,permanent wave,14557972,https://i.scdn.co/image/143b0f286f76ece3a711f673d9ba00b8f499b2c0
5884,14,Katy Perry,I Kissed A Girl,2008,6jJ0s89eD6GaHleKKya26X,dance pop,11170847,https://i.scdn.co/image/fcdc433e8ccf8d46d58ac70db322feb9b3328731
5885,15,T.I.,Whatever You Like,2008,4OBJLual30L7gRl5UkeRcT,dance pop,2505173,https://i.scdn.co/image/eae4a88e33baad4b4ce4605aa074c45766e94d09
5886,16,Rihanna,Disturbia,2008,5pKCCKE2ajJHZ9KAiaK11H,dance pop,26863721,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
5887,17,Rihanna,Don't Stop the Music,2008,5pKCCKE2ajJHZ9KAiaK11H,dance pop,26863721,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
5888,18,Natasha Bedingfield,Pocketful of Sunshine,2008,7o95ZoZt5ZYn31e9z1Hc0a,dance pop,602887,https://i.scdn.co/image/5c141e5457b858cd5dde91557ec2f26b00b6149f
5889,19,Chris Brown feat. T-Pain,Kiss Kiss,2008,7bXgB6jMjp9ATFy66eO08Z,dance pop,7050001,https://i.scdn.co/image/dd72e5f293cdd39a6f35a7a790d58a5a8922d84e
5890,20,Ne-Yo,Closer,2008,21E3waRsmPlU7jZsS13rcj,dance pop,3931069,https://i.scdn.co/image/d48ffaffc20a3c76f79d81b7b940df9a380b5e7c
5891,21,Colbie Caillat,Bubbly,2008,6aZyMrc4doVtZyKNilOmwu,acoustic pop,1202457,https://i.scdn.co/image/b907bdadb452c37654d528e945c933c36c66555a
5892,22,Mariah Carey,Touch My Body,2008,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
5893,23,Madonna feat. Justin Timberlake,4 Minutes,2008,6tbjWDEIzxoDsBA1FuhfPW,dance pop,2487563,https://i.scdn.co/image/19cf1c640fdaf39577fa07ad111d51cb1bc78216
5894,24,P!nk,So What,2008,1KCSPY1glIKqW2TotWuXOR,dance pop,4856095,https://i.scdn.co/image/afc2d276d9c1b398d4f1048c20584f926296b9c0
5895,25,Finger Eleven,Paralyzer,2008,0niJkG4tKkne3zwr7I8n9n,alternative metal,269190,https://i.scdn.co/image/39de6354306ea0ae05737957756f1dd52bc57b0f
5896,26,Fergie,Clumsy,2008,3r17AfJCCUqC9Lf0OAc73G,dance pop,2486830,https://i.scdn.co/image/8f3351450c30b08da0fcfc9a7c317570b6bb291d
5897,27,Jason Mraz,I'm Yours,2008,4phGZZrJZRo4ElhRtViYdl,acoustic pop,3468690,https://i.scdn.co/image/0139b01c55d497621fa5e31621ef51e004c7e168
