,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
4174,1,Bryan Adams,(Everything I Do) I Do It For You,1991,3Z02hBLubJxuFJfhacLSDc,album rock,843151,https://i.scdn.co/image/221676462fd9e40847b9ccb4697cdd201dcc891b
4175,2,Color Me Badd,I Wanna Sex You Up,1991,1QtIfAa6y7w2JhxYJhYeUG,boy band,132989,https://i.scdn.co/image/3922434d2ac69630c50292c0d88333f557929ebf
4176,3,C+C Music Factory,Gonna Make You Sweat,1991,7krx6UBDKLwE0q3s3fesqF,eurodance,60439,https://i.scdn.co/image/b255eba0cea076c5f18460b7fcfb5e1488aeea70
4177,4,Paula Abdul,Rush Rush,1991,4PpmBoqphQusNFsxuVKb6j,dance pop,277626,https://i.scdn.co/image/85c6dc38eaaa8553b57d3369dd64d7e48ff30ad3
4178,5,Timmy T,One More Try,1991,5gqcLXiJcBVEduXVle7JN1,freestyle,9474,https://i.scdn.co/image/6eccdd31f2243c6a7d23b0b0ffa43998d4f210fd
4179,6,EMF,Unbelievable,1991,39oSLGo3HkaeYXzUEGgAGQ,britpop,22084,https://i.scdn.co/image/d93044fa1435bd0a4cb9e774ae15362ce2e3f52a
4180,7,Extreme,More Than Words,1991,6w7j5wQ5AI5OQYlcM15s2L,album rock,183976,https://i.scdn.co/image/f77b6e05da95676055d2d3e1a87e2afe9e5d2b04
4181,8,Hi-Five,I Like The Way (The Kissing Game),1991,0EVUivUkugMtNF09L4QBMH,boy band,184420,https://i.scdn.co/image/dfa0bf6d51575358d62c90e724e5809878c10cc3
4182,9,Surface,The First Time,1991,7dXeJ8kAqTqtvNWQNV3sdU,funk,11924,https://i.scdn.co/image/69916c9e2a603b464e91fb221052f974a07f72fe
4183,10,Amy Grant,"Baby, Baby",1991,72Nhcx7prNk2ZCxhx0Y5es,ccm,88622,https://i.scdn.co/image/302ca80c16dc594c6704f35ce1e7e25210be97a4
4184,11,Boyz II Men,Motownphilly,1991,6O74knDqdv3XaWtkII7Xjp,boy band,1157248,https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb
4185,12,Stevie B,Because I Love You (The Postman Song),1991,6V7pNWhlJpD0s0bMdB1PU9,freestyle,68788,https://i.scdn.co/image/848e1570976d5b0fa53f209e88430e4174cd046e
4186,13,Mariah Carey,Someday,1991,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
4187,14,Damn Yankees,High Enough,1991,7ihLzUpuNecU5VBkvOUDNq,album rock,142581,https://i.scdn.co/image/9517063851699faac6ea623b91ad2b9fb4a5ad03
4188,15,Bette Midler,From A Distance,1991,13y0kncDD4J9wxCyfKr10W,adult standards,189018,https://i.scdn.co/image/a87715e524d6751a54c70abf7074aaf810ff8a4b
4189,16,Whitney Houston,All The Man That I Need,1991,6XpaIBNiVzIetEPCWDvAFP,dance pop,3206503,https://i.scdn.co/image/cef7e2b0709802736d9e6f7b1970403265c88271
4190,17,Jesus Jones,"Right Here, Right Now",1991,0roeI3yPusDWwWRzAqTopw,acid house,16688,https://i.scdn.co/image/a82d5667b7c8d51a6ddb4df436e6cdb00168afa0
4191,18,Color Me Badd,I Adore Mi Amor,1991,1QtIfAa6y7w2JhxYJhYeUG,boy band,132989,https://i.scdn.co/image/3922434d2ac69630c50292c0d88333f557929ebf
4192,19,Janet Jackson,Love Will Never Do (Without You),1991,4qwGe91Bz9K2T8jXTZ815W,dance pop,1160038,https://i.scdn.co/image/fb98451f3e31de67c35bcb22f0551728b180c3d4
4193,20,Marky Mark and The Funky Bunch feat. Loleatta Holloway,Good Vibrations,1991,4046bnFxFJdLEtG7F2qXaV,unassigned,34549,https://i.scdn.co/image/a4e9fb16f714638660eb29585d2ad6064d15abfe
4194,21,Madonna,Justify My Love,1991,6tbjWDEIzxoDsBA1FuhfPW,dance pop,2487563,https://i.scdn.co/image/19cf1c640fdaf39577fa07ad111d51cb1bc78216
4195,22,Mariah Carey,Emotions,1991,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
4196,23,Roxette,Joyride,1991,2SHhfs4BiDxGQ3oxqf0UHY,europop,538750,https://i.scdn.co/image/5679e8b8d7d28777dfa7f3e78e001a896d4cdc52
4197,24,Karyn White,Romantic,1991,5lJBrQQ88JjskJmJeVKX4F,new jack swing,114641,https://i.scdn.co/image/27e1a471528719c975e37661762a0cc23965c99b
4198,25,Tara Kemp,Hold You Tight,1991,1eOD8TGo5Ek80Gv7VIqFij,unassigned,573,https://i.scdn.co/image/c97d3521dcbab7634d904619dace8d1affa5531f
4199,26,Mariah Carey,I Don't Wanna Cry,1991,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
4200,27,Wilson Phillips,You're In Love,1991,1yMYjh77WgOVafRkI50mim,girl group,140705,https://i.scdn.co/image/9101beb98984fddaf5f65b6e918370ccea6d11da
4201,28,Amy Grant,Every Heartbeat,1991,72Nhcx7prNk2ZCxhx0Y5es,ccm,88622,https://i.scdn.co/image/302ca80c16dc594c6704f35ce1e7e25210be97a4
