,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
588,1,Percy Faith,Song From Moulin Rouge,1953,24DQLSng7bKZD4GXLIaQbv,adult standards,16350,https://i.scdn.co/image/456ca5cb1d48fd128c84930e73e40df31f608d54
589,2,Les Paul and Mary Ford,Vaya Con Dios,1953,6yEEsr3AiZ2BZqtyyOmPM6,unassigned,3365,https://i.scdn.co/image/c89848a2370de0f91e5147934d693fd8fd4eadd7
590,3,Patti Page,Doggie In The Window,1953,4nZN9kln8toEzOifhWG2uF,adult standards,38771,https://i.scdn.co/image/353b05113b1a140d64d83d9cf85f1a7bb8e51e19
591,4,Eddie Fisher,I'm Walking Behind You,1953,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
592,5,Ames Brothers,"You, You, You",1953,4oXaAEofJFedGweFqy5qiv,adult standards,3980,https://i.scdn.co/image/70b3cf656e0614f09a8334c9806a754b5ae8b6fd
593,6,Teresa Brewer,Till I Waltz Again With You,1953,2mPL4g4v9DS55zi6QctLbP,adult standards,8724,https://i.scdn.co/image/04ccb7de123556c809728d84ee0845ee21a2fc0d
594,7,Les Baxter,April In Portugal,1953,35pV6EUbherudlvAftoueR,christmas,10379,https://i.scdn.co/image/7d2190e1b32bb17101c5832917c2bcc5f04250d7
595,8,Perry Como,No Other Love,1953,5v8jlSmAQfrkTjAlpUfWtu,adult standards,122398,https://i.scdn.co/image/67994599f4a13b71c23e0fdfc2ffbf9ab94bb513
596,9,Perry Como,Don't Let The Stars Get In Your Eyes,1953,5v8jlSmAQfrkTjAlpUfWtu,adult standards,122398,https://i.scdn.co/image/67994599f4a13b71c23e0fdfc2ffbf9ab94bb513
597,10,Frankie Laine,I Believe,1953,3cgO5CdhEHKMxldjZlP5ix,adult standards,26540,https://i.scdn.co/image/a44683ea4e12ae44019018274613fb6a50c08114
598,11,Pee Wee Hunt,Oh,1953,4YosItRGDjwvJjzMPzbwwQ,jazz trombone,756,https://i.scdn.co/image/15032e305ef1cd242647a83a7f314f042d45fc44
599,12,Frank Chacksfield,Ebb Tide,1953,556bh5qJfhSUkjTluTTyMF,adult standards,3024,https://i.scdn.co/image/bc37bc03090910254e30bf58a34f2bdfe1d292b6
600,13,Nat King Cole,Pretend,1953,7v4imS0moSyGdXyLgVTIV7,adult standards,830065,https://i.scdn.co/image/a4c0918f13b67aa8d9f4ea1d64bdba44c51fb1d2
601,14,Richard Hayman,Ruby,1953,68tBK9r9zdViB8V73G5SA9,lounge,394,https://i.scdn.co/image/d0bc348e36c66ac83964e89c588d583b9c4e4934
602,15,Stan Freberg,St. George And The Dragonet,1953,31wLmtRSwO4f50DFG8zv4s,comic,1915,https://i.scdn.co/image/f30edb1590f403994363b9840fc48c48fd8a63b7
603,16,Hilltoppers,P.S.: I Love You,1953,6qcybypxBn4XlMcYJHhViw,deep adult standards,1506,https://i.scdn.co/image/03f0cca6a6ad3ee3268e8f6b23576502f09605c9
604,17,Gaylords,Tell Me You're Mine,1953,6meQXl5saAZt5MZnQcKCWF,deep adult standards,718,https://i.scdn.co/image/d428585d393b4ac85710647f14f86a30f9f4e249
605,18,Julius La Rosa,Eh Cumpari,1953,1yhv5zp6IYFYpboAm7Fdlm,deep adult standards,235,https://i.scdn.co/image/6f79d3d2a0900e2611b9585daa6d408fad261785
606,19,Tony Bennett,Rags To Riches,1953,2lolQgalUvZDfp5vvVtTYV,adult standards,351308,https://i.scdn.co/image/cdc8a7ef4d569d7519c12758067715f5833bd4c9
607,20,Silvana Mangano,Anna,1953,737lZOpxqQYGsWDfGt5Nb0,unassigned,332,https://i.scdn.co/image/4e5452018817d992348ed5956e9b55ddb67c83f6
608,21,Perry Como,Say You're Mine Again,1953,5v8jlSmAQfrkTjAlpUfWtu,adult standards,122398,https://i.scdn.co/image/67994599f4a13b71c23e0fdfc2ffbf9ab94bb513
609,22,Ray Anthony,Dragnet,1953,5YRqxl4KfzKkFBMu408yv6,big band,3069,https://i.scdn.co/image/7a23cb830ee961e35ead781c55f02136680713ad
610,23,Frankie Laine and Jimmy Boyd,Tell Me A Story,1953,3cgO5CdhEHKMxldjZlP5ix,adult standards,26540,https://i.scdn.co/image/a44683ea4e12ae44019018274613fb6a50c08114
611,24,June Valli,Crying In The Chapel,1953,1KmKEXZocALOJhgHl7VxNi,deep adult standards,51,https://i.scdn.co/image/44f61fe9bf4861a6d52b8b77b211a9d65bd18e9b
612,25,Joni James,Why Don't You Believe Me,1953,0hiq5HixjjN3gtSXLZmnBw,adult standards,4590,https://i.scdn.co/image/5c9001d6c848703c1b03787bffa304657a2fb220
613,26,Joni James,Your Cheating Heart,1953,0hiq5HixjjN3gtSXLZmnBw,adult standards,4590,https://i.scdn.co/image/5c9001d6c848703c1b03787bffa304657a2fb220
614,27,Frank Chacksfield,Limelight (Terry's Theme),1953,556bh5qJfhSUkjTluTTyMF,adult standards,3024,https://i.scdn.co/image/bc37bc03090910254e30bf58a34f2bdfe1d292b6
615,28,Eddie Fisher,With These Hands,1953,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
616,29,Eartha Kitt,C'est Si Bon,1953,1AwO9pWEBSBoWdEZu28XDC,adult standards,55104,https://i.scdn.co/image/1ba7608e5a7ac1c8ca8c70dbcc2d8b2674d2f836
617,30,Joni James,Have You Heard?,1953,0hiq5HixjjN3gtSXLZmnBw,adult standards,4590,https://i.scdn.co/image/5c9001d6c848703c1b03787bffa304657a2fb220
