,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
1678,1,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966,5r0O4LLn9wHEuYxKmGzUB5,unassigned,1540,https://i.scdn.co/image/fb32e889a3bbf74fb69317f7b97d52a9a74cc8ad
1679,2,Association,Cherish,1966,2kuNswDC82PL9xRbfaZJaS,adult standards,61352,https://i.scdn.co/image/12b6e1639f825d48564b201aec846639bade25d8
1680,3,Righteous Brothers,(You're My) Soul And Inspiration,1966,4b0WsB47XCa9F83BmwQ7WX,adult standards,135467,https://i.scdn.co/image/21584a935b760f20b4b08f7f9ddd012c12437798
1681,4,Four Tops,Reach Out I'll Be There,1966,7fIvjotigTGWqjIz6EP1i4,brill building pop,378181,https://i.scdn.co/image/b4cebe6215c58efaf06407961a99c458e537050a
1682,5,? and The Mysterians,96 Tears,1966,3ZZHB1Xh2PM88QTMiqHB62,bubblegum pop,12200,https://i.scdn.co/image/2704948faa539e47795627354cf0ff860206ec70
1683,6,Monkees,Last Train To Clarksville,1966,320EPCSEezHt1rtbfwH6Ck,brill building pop,354172,https://i.scdn.co/image/e544a32232ce0952eb27aa70f3061164190772ab
1684,7,Mama's and The Papa's,"Monday, Monday",1966,5qK5bOC6wLtuLhG5KvU17c,hip pop,37050,https://i.scdn.co/image/1e11abd231d0c417b7a3e997432cfc5e75dd2249
1685,8,Supremes,You Can't Hurry Love,1966,57bUPid8xztkieZfS7OlEV,brill building pop,682849,https://i.scdn.co/image/5c5dc3f7b4569a7727a63a44513c7a602b72da44
1686,9,Johnny Rivers,Poor Side Of Town,1966,3TiISqKS6ESlMQ4WFfZJw2,brill building pop,55812,https://i.scdn.co/image/6c618815c9e7910b2c075bcaa2b160c9f84e0f94
1687,10,Mama's and The Papa's,California Dreamin',1966,5qK5bOC6wLtuLhG5KvU17c,hip pop,37050,https://i.scdn.co/image/1e11abd231d0c417b7a3e997432cfc5e75dd2249
1688,11,Lovin' Spoonful,Summer In The City,1966,7CCn4PFRRRZF127jtCBAUe,art rock,137076,https://i.scdn.co/image/d0fc74cb2e10858c1b0b2436e6f14cee0944f8df
1689,12,Roger Williams,Born Free,1966,55CCS64lPz88twUDVquU1u,adult standards,10216,https://i.scdn.co/image/b74a53308cadd10b8b28ea60c4a6ea7323efe9fe
1690,13,Nancy Sinatra,These Boots Are Made For Walkin',1966,3IZrrNonYELubLPJmqOci2,adult standards,168194,https://i.scdn.co/image/7a735f3cc039cfa4499b5dd4569d93312baf123c
