,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
4574,1,Coolio,Gangsta's Paradise,1995,3y24n3XhZ96wgwRXjvS17T,g funk,218854,https://i.scdn.co/image/bdf1030866c0daf84db845d41c25e738fd7d7bdd
4575,2,TLC,Waterfalls,1995,0TImkz4nPqjegtVSMZnMRq,dance pop,1222832,https://i.scdn.co/image/0a92641cc8acb39e4aee7e959cb2a42287ea4801
4576,3,TLC,Creep,1995,0TImkz4nPqjegtVSMZnMRq,dance pop,1222832,https://i.scdn.co/image/0a92641cc8acb39e4aee7e959cb2a42287ea4801
4577,4,Seal,Kiss From A Rose,1995,5GtMEZEeFFsuHY8ad4kOxv,soft rock,617670,https://i.scdn.co/image/f87ba05c9d8fde9366c092730b169729b7fd2c93
4578,5,Boyz II Men,On Bended Knee,1995,6O74knDqdv3XaWtkII7Xjp,boy band,1157248,https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb
4579,6,Real McCoy,Another Night,1995,2vRfKzjQYJQd67X8x49MOh,bubblegum dance,38081,https://i.scdn.co/image/c571dc85cd0ec5d9fac1b0a299d570b8d863cda9
4580,7,Mariah Carey,Fantasy,1995,4iHNK0tOyZPYnBU7nGAgpQ,dance pop,3468195,https://i.scdn.co/image/afd38eeb7e2d9b2e1462de29fd8d96acb1959115
4581,8,Madonna,Take A Bow,1995,6tbjWDEIzxoDsBA1FuhfPW,dance pop,2487563,https://i.scdn.co/image/19cf1c640fdaf39577fa07ad111d51cb1bc78216
4582,9,Monica,Don't Take It Personal (Just One Of Dem Days),1995,6nzxy2wXs6tLgzEtqOkEi2,dance pop,893997,https://i.scdn.co/image/328896170b380ff5fc06795a857c175e68bb526c
4583,10,Montell Jordan,This Is How We Do It,1995,0iVrCROxeyon7MZUW3MfzT,dance pop,264602,https://i.scdn.co/image/00c90ff5bff7a49c46263ae96991e38e31a048f0
