,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
5471,1,Usher feat. Lil Jon and Ludacris,Yeah!,2004,23zg3TcAtWQy7J6upgbUnj,dance pop,6470439,https://i.scdn.co/image/2b6609f142389ae1505fd090db3861eb34ce2e13
5472,2,Usher,Burn,2004,23zg3TcAtWQy7J6upgbUnj,dance pop,6470439,https://i.scdn.co/image/2b6609f142389ae1505fd090db3861eb34ce2e13
5473,3,Alicia Keys,If I Ain't Got You,2004,3DiDSECUqqY1AuBP8qtaIa,hip pop,5116648,https://i.scdn.co/image/05e25d030a1caa1611b1e7248d89b557d9867258
5474,4,Maroon 5,This Love,2004,04gDigrS5kc9YWfZHwBETP,pop,13064111,https://i.scdn.co/image/4079ef5effe54ab8cc099e2b6d872899d033b09d
5475,5,OutKast feat. Sleepy Brown,The Way You Move,2004,1G9G7WwrXka3Z1r7aIDjI7,dirty south rap,968166,https://i.scdn.co/image/cf78e460a538b48dec7ef55064cdc76042511a07
5476,6,Hoobastank,The Reason,2004,2MqhkhX4npxDZ62ObR5ELO,alternative metal,862952,https://i.scdn.co/image/219e0b3dd4fe9e4b19d871819da82bfc51e464ed
5477,7,Mario Winans feat. Enya and P. Diddy,I Don't Wanna Know,2004,4BIQA9vRkqXEnA2twmq7mU,r&b,31156,https://i.scdn.co/image/1d45540168bdcb4c73a6d54cd3c5e62898f67a4f
5478,8,OutKast,Hey Ya!,2004,1G9G7WwrXka3Z1r7aIDjI7,dirty south rap,968166,https://i.scdn.co/image/cf78e460a538b48dec7ef55064cdc76042511a07
5479,9,Ciara feat. Petey Pablo,Goodies,2004,2NdeV5rLm47xAvogXrYhJX,dance pop,3285485,https://i.scdn.co/image/26da3944201bfadf0095bd6b469bb8e9f53b81e1
5480,10,Terror Squad,Lean Back,2004,2BvzbqWWwLN11XGBYgDZzx,hardcore hip hop,73420,https://i.scdn.co/image/abb429e8b079d8090f4fbf8c51b4d837431431f9
5481,11,J-Kwon,Tipsy,2004,1Zz5UxfKSSqc6hpa3xJPCw,dirty south rap,77324,https://i.scdn.co/image/7842c123600abe4fc15e1eace686621dfa614995
5482,12,Usher,Confessions Part II,2004,23zg3TcAtWQy7J6upgbUnj,dance pop,6470439,https://i.scdn.co/image/2b6609f142389ae1505fd090db3861eb34ce2e13
5483,13,Juvenile feat. Soulja Slim,Slow Motion,2004,0rG0AZBscc8S8q1ahIsasI,bounce,384498,https://i.scdn.co/image/9b0979334be12f30b68cb95c7f9fee51133eeb33
