,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
778,1,Elvis Presley,All Shook Up,1957,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
779,2,Pat Boone,Love Letters In The Sand,1957,7fmKtIgmxqNEKjATioVNsu,adult standards,55015,https://i.scdn.co/image/117d99b0ccb1a521772f918bf81ca3ff42b780b8
780,3,Diamonds,Little Darlin',1957,6CwfuxIqcltXDGjfZsMd9A,dance pop,1318314,https://i.scdn.co/image/2c1d70e358bb023c53bb39c9ee822fb7685cbde0
781,4,Tab Hunter,Young Love,1957,0pVnnK639XgJiMuv10JLRe,unassigned,1325,https://i.scdn.co/image/27661b1ec27b995ba93d3440a9d6989b7fe1b376
782,5,Jimmy Dorsey,So Rare,1957,3xPpQCRiTBxgmL4PD8J5ek,big band,14751,https://i.scdn.co/image/c53c748c561a114948219d9cf92020a8907efc42
783,6,Pat Boone,Don't Forbid Me,1957,7fmKtIgmxqNEKjATioVNsu,adult standards,55015,https://i.scdn.co/image/117d99b0ccb1a521772f918bf81ca3ff42b780b8
784,7,Guy Mitchell,Singing The Blues,1957,1YAtBHWaWzZnkaoSFHGTBV,adult standards,9248,https://i.scdn.co/image/8472fdff90a64f074d9be62dfb69ebe48879e26e
785,8,Sonny James,Young Love,1957,0c08N8UlFjDaup9TNDaWxy,country gospel,12859,https://i.scdn.co/image/d30d8f69f4efe6d34bd4b4592a7f3ebff1fb124a
786,9,Elvis Presley,Too Much,1957,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
787,10,Perry Como,Round And Round,1957,5v8jlSmAQfrkTjAlpUfWtu,adult standards,122398,https://i.scdn.co/image/67994599f4a13b71c23e0fdfc2ffbf9ab94bb513
788,11,Everly Brothers,Bye Bye Love,1957,4ACplpEqD6JIVgKrafauzs,adult standards,210145,https://i.scdn.co/image/143996e5147b6767719a60163488e342b3fc2efe
789,12,Debbie Reynolds,Tammy,1957,4Zf0pLGYwNB86Y97kisvkn,show tunes,14540,https://i.scdn.co/image/e9751ab643f1700814009306255b9df1b312284a
790,13,Buddy Knox,Party Doll,1957,0b5Tz3szM4KK8esFKV2Zsb,brill building pop,6151,https://i.scdn.co/image/a4457b7af1cd0c95d2428ee7384e6c18755a7dcd
791,14,Elvis Presley,Teddy Bear / Loving You,1957,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
792,15,Harry Belafonte,Banana Boat (Day-O),1957,6Tw1ktF4xMmzaLLbe98I2z,adult standards,72589,https://i.scdn.co/image/a59b477875a9c8d3956cd514e2829b9b95248849
793,16,Elvis Presley,Jailhouse Rock,1957,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
794,17,Marty Robbins,A White Sport Coat (And A P!nk Carnation),1957,0Xi59sEw38vRvwleSAVqoo,country gospel,119210,https://i.scdn.co/image/55992126e2a79d6dad67c4e9508811ba19abc586
795,18,Dell-vikings,Come Go With Me,1957,10xLCBOlt2NhclsRmrOvX5,brill building pop,20343,https://i.scdn.co/image/21fd9a008e669eeebcc5ddf1e7aaf049eba8a634
796,19,Everly Brothers,Wake Up Little Susie,1957,4ACplpEqD6JIVgKrafauzs,adult standards,210145,https://i.scdn.co/image/143996e5147b6767719a60163488e342b3fc2efe
797,20,Sam Cooke,You Send Me,1957,6hnWRPzGGKiapVX1UCdEAC,adult standards,701273,https://i.scdn.co/image/79ab50ccf7488099720f902bcf02dfff395e3269
798,21,Coasters,Searchin',1957,3QZKZBEmr54lAVI5XvmjnM,adult standards,74460,https://i.scdn.co/image/2b811d478a88444e6ac9389b7ce03d2c4153ac91
799,22,Chuck Berry,School Day,1957,293zczrfYafIItmnmM3coR,blues-rock,710154,https://i.scdn.co/image/d58323616d4f5d22b51e9dfe0ba53aedabe53cd4
800,23,Ferlin Husky,Gone,1957,0szj7Sxtyluyjc2Arj0njB,country gospel,17237,https://i.scdn.co/image/fa71758193ab20bf6af8a6466b2564e811376ebe
801,24,Paul Anka,Diana,1957,7ceUfdWq2t5nbatS6ollHh,adult standards,166297,https://i.scdn.co/image/2cf68a5624e8a646d51760740d83be8a3361cb71
802,25,Ricky Nelson,A Teenager's Romance,1957,73sSFVlM6pkweLXE8qw1OS,adult standards,110130,https://i.scdn.co/image/99ee90438c46d52c9007866740f5504834d20f99
