,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
559,1,Leroy Anderson,Blue Tango,1952,5YhX2onn51M81v4dSZajlX,american modern classical,3491,https://i.scdn.co/image/533d4c65b76d77c7d8f5dfc355fff44eddf245f8
560,2,Kay Starr,Wheel Of Fortune,1952,7rpf45DdbpweG51Acze45i,adult standards,15771,https://i.scdn.co/image/49f8330145cdbecedad4fb3398460c86d450bdf9
561,3,Johnnie Ray,Cry,1952,6SQKNCUKIWjR1pQ1U3PZZq,adult standards,11940,https://i.scdn.co/image/9af87894760dcc5a2878d07103a1d90ff6b83684
562,4,Jo Stafford,You Belong To Me,1952,1Jqk46QvzUn7SnwmTGX6Cw,adult standards,24955,https://i.scdn.co/image/8e86114be76f1cb4fb5d73607768d41d894ddf8b
563,5,Vera Lynn,"Auf Wiederseh'n, Sweetheart",1952,2rJkmlVHePMo2gk0InTZRS,adult standards,24566,https://i.scdn.co/image/af08829d41d39b02e3be42ed1b334943606f204f
564,6,Rosemary Clooney,Half As Much,1952,0NkyXWGxE3WTFixDSJ39PK,adult standards,55366,https://i.scdn.co/image/5974256cb22557291dcc9c71640bcd47a8c879d8
565,7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
566,8,Patti Page,I Went To Your Wedding,1952,4nZN9kln8toEzOifhWG2uF,adult standards,38771,https://i.scdn.co/image/353b05113b1a140d64d83d9cf85f1a7bb8e51e19
567,9,Al Martino,Here In My Heart,1952,7egNqIGRldMzifHoh8pib6,adult standards,28683,https://i.scdn.co/image/3a0246e68f01729ccb9df2611cfb764c89169ff4
568,10,Percy Faith,Delicado,1952,24DQLSng7bKZD4GXLIaQbv,adult standards,16350,https://i.scdn.co/image/456ca5cb1d48fd128c84930e73e40df31f608d54
569,11,Georgia Gibbs,Kiss Of Fire,1952,6E8uXyNsUKeGOgRqAOcgBa,deep adult standards,2126,https://i.scdn.co/image/f6b33b454901ad08e2266159cd27ec431e789b40
570,12,Eddie Fisher and Hugo Winterhalter,Any Time,1952,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
571,13,Four Aces,Tell Me Why,1952,542GsScaNnc2Ed8yokKLsy,adult standards,14581,https://i.scdn.co/image/c8b9787f783185cffd8de89c711931c0d9392200
572,14,Ella Mae Morse,Blacksmith Blues,1952,0qGFARKf4pfodYjZbj5N4v,big band,2085,https://i.scdn.co/image/596691303a26321a3338cd19da5d23b6087fc049
573,15,Jo Stafford,Jambalaya,1952,1Jqk46QvzUn7SnwmTGX6Cw,adult standards,24955,https://i.scdn.co/image/8e86114be76f1cb4fb5d73607768d41d894ddf8b
574,16,Rosemary Clooney,Botch-a-me,1952,0NkyXWGxE3WTFixDSJ39PK,adult standards,55366,https://i.scdn.co/image/5974256cb22557291dcc9c71640bcd47a8c879d8
575,17,Doris Day,A Guy Is A Guy,1952,3ESG6pj6a0LvUKklENalT6,adult standards,132932,https://i.scdn.co/image/177e8ea19a5da187ddc33cc76d6d65b764fdf277
576,18,Johnnie Ray,The Little White Cloud That Cried,1952,6SQKNCUKIWjR1pQ1U3PZZq,adult standards,11940,https://i.scdn.co/image/9af87894760dcc5a2878d07103a1d90ff6b83684
577,19,Frankie Laine,High Noon,1952,3cgO5CdhEHKMxldjZlP5ix,adult standards,26540,https://i.scdn.co/image/a44683ea4e12ae44019018274613fb6a50c08114
578,20,Eddie Fisher and Hugo Winterhalter,I'm Yours,1952,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
579,21,Mills Brothers,Glow Worm,1952,5v8bwWRbu7AI3YFhzoM6Ha,adult standards,29275,https://i.scdn.co/image/e7cd8421675f71e30a6ae87721aaff2d822a7aae
580,23,Pee Wee King,Slow Poke,1952,3iywlJzFl8iYgp3112qt31,unassigned,82,https://i.scdn.co/image/a13584b3fe195d454729cb0b94b2bf75fd6c5a38
581,24,Johnnie Ray,Walkin' My Baby Back Home,1952,6SQKNCUKIWjR1pQ1U3PZZq,adult standards,11940,https://i.scdn.co/image/9af87894760dcc5a2878d07103a1d90ff6b83684
582,25,Les Paul,Meet Mr. Callaghan,1952,2hkZGvBotqZ7uBBUnBwmLC,space age pop,16467,https://i.scdn.co/image/9ff970e77754be9023432d74305befa3505f1ed6
583,26,Don Cornell,I'm Yours,1952,2Oe27JVtJqG8OLkgYDGzvS,deep adult standards,1182,https://i.scdn.co/image/d764d2b8992fdf8886f9ba96521ec9bcf6753a1f
584,27,Don Cornell,I'll Walk Alone,1952,2Oe27JVtJqG8OLkgYDGzvS,deep adult standards,1182,https://i.scdn.co/image/d764d2b8992fdf8886f9ba96521ec9bcf6753a1f
585,28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952,6bHSJldq5J4lYowHOm9OOX,adult standards,9903,https://i.scdn.co/image/d8f05500091edd1076326420945e0c599ec0d046
586,29,Hilltoppers,Trying,1952,6qcybypxBn4XlMcYJHhViw,deep adult standards,1506,https://i.scdn.co/image/03f0cca6a6ad3ee3268e8f6b23576502f09605c9
587,30,Johnnie Ray,"Please, Mr. Sun",1952,6SQKNCUKIWjR1pQ1U3PZZq,adult standards,11940,https://i.scdn.co/image/9af87894760dcc5a2878d07103a1d90ff6b83684
