,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
2575,1,Captain and Tennille,Love Will Keep Us Together,1975,7BEfMxbaqx6dOpbtlEqScm,adult standards,91599,https://i.scdn.co/image/3a01eb4ab84de08dd5d380ea9201c9dc8dbc6cdf
2576,2,Glen Campbell,Rhinestone Cowboy,1975,59hLmB5DrdihCYtNeFeW1U,adult standards,127216,https://i.scdn.co/image/af8ebd05ac83d01700b5207dd5a3b096d026d58c
2577,3,Elton John,Philadelphia Freedom,1975,3PhoLpVuITZKcymswpck5b,glam rock,1873729,https://i.scdn.co/image/f50ae3e5cf3637c5f486b6205468c245644be36e
2578,4,Freddy Fender,Before The Next Teardrop Falls,1975,0SNdq9iJyup4XY6JbNHbt6,country gospel,51844,https://i.scdn.co/image/ef5ecd10b525155efa79a513944bf0257a6f9e94
2579,5,Frankie Valli,My Eyes Adored You,1975,6mcrZQmgzFGRWf7C0SObou,adult standards,214318,https://i.scdn.co/image/a3681184cf82ac5fe600f3ecda02bd7b3e14ab33
2580,6,"Earth, Wind and Fire",Shining Star,1975,4QQgXkCYTt3BlENzhyNETg,disco,1344293,https://i.scdn.co/image/9fd0a9822140cce668ee15263e1f73730152dff0
2581,7,David Bowie,Fame,1975,0oSGxfWSnnOXhD2fKuz2Gy,art rock,3036998,https://i.scdn.co/image/6efa04809a6358a5da0e701d24449cfb8348ebf5
2582,8,Neil Sedaka,Laughter In The Rain,1975,5N6GwJzOcOY5kv8p0NjhYL,adult standards,126130,https://i.scdn.co/image/131c254129758c4951b09c4ffc07e5c09a7dcbec
2583,9,Eagles,One Of These Nights,1975,0ECwFtbIWEVNwjlrfc6xoL,album rock,1982107,https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842
2584,10,John Denver,Thank God I'm A Country Boy,1975,7EK1bQADBoqbYXnT4Cqv9w,folk,426746,https://i.scdn.co/image/046c1497e9013c0d1d8c5e4ba105804409173435
2585,11,Bee Gees,Jive Talkin',1975,1LZEQNv7sE11VDY3SdxQeN,disco,1208058,https://i.scdn.co/image/1d5a05673975ba0c378cd280344e000b0b865620
2586,12,Eagles,Best Of My Love,1975,0ECwFtbIWEVNwjlrfc6xoL,album rock,1982107,https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842
2587,13,Minnie Riperton,Lovin' You,1975,2i1IdHG5w0wiSmJGoqAGlj,classic soul,113378,https://i.scdn.co/image/80230921f3d0c8bd777b39133506f3e103317539
2588,14,Carl Douglas,Kung Fu Fighting,1975,5Pqx4mXYDGIDcg8E5FYjZ8,disco,9304,https://i.scdn.co/image/355cab41b2614a92c1577bd54d53659a083c3f86
2589,15,Doobie Brothers,Black Water,1975,39T6qqI0jDtSWWioX8eGJz,album rock,607030,https://i.scdn.co/image/7554847d0f7fd793493ee16d51f8e7b84768798f
2590,16,Sweet,Ballroom Blitz,1975,3JaAGmSTpJK35DqWrDUzBz,album rock,129292,https://i.scdn.co/image/db1b8d2a6b37fe42570e93ac3a9a4b6c47cfd60f
2591,17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,1975,0uUNzXylqsZdmFDwdxaP1V,adult standards,58737,https://i.scdn.co/image/90e52266d0463ef6215a393d55c4c8604c957d36
2592,18,Tony Orlando and Dawn,He Don't Love You (Like I Love You),1975,72NXpYBIaTfEeAAsxXLs0P,bubblegum pop,18557,https://i.scdn.co/image/5761f0bf0d3ad46af08b9a78bf4583e0a9bdb994
2593,19,Janis Ian,At Seventeen,1975,5c9uFWpZY2MTlk7Rft0tgp,folk,42185,https://i.scdn.co/image/57e00d1726406f8652827e6fb451bcd823faeae1
2594,20,Average White Band,Pick Up The Pieces,1975,3tx8fyu3c4OBP5nejYtUOb,classic soul,135831,https://i.scdn.co/image/fd616d4403ed8a0d107b692a3e44c367bbaabe66
2595,21,Van McCoy and The Soul City Symphony,The Hustle,1975,0bShb58TO0fM5jOjXhB1WT,disco,21076,https://i.scdn.co/image/b93b309729a40f1515f2cda0fb2ea6876d0adbaa
2596,22,Labelle,Lady Marmalade,1975,0ty0xha1dbprYIUAQufkFn,disco,331884,https://i.scdn.co/image/bb92c0e115364293eb7b2a76d39e89fa0b9e5eb9
2597,23,War,Why Can't We Be Friends?,1975,6VDdCwrBM4qQaGxoAyxyJC,garage rock,450025,https://i.scdn.co/image/84c1bdd4f601303b7babad834f743f16b483dcd2
2598,24,Major Harris,Love Wont Let Me Wait,1975,0mpVqJaKwg11LdSRrvI0PL,classic soul,20160,https://i.scdn.co/image/4fea92cc3d1c6a876de5cf0228898ace1e3baf85
2599,25,Stevie Wonder,Boogie On Reggae Woman,1975,7guDJrEfX3qb6FEbdPA5qi,disco,3008626,https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108
2600,26,Freddy Fender,Wasted Days And Wasted Nights,1975,0SNdq9iJyup4XY6JbNHbt6,country gospel,51844,https://i.scdn.co/image/ef5ecd10b525155efa79a513944bf0257a6f9e94
2601,27,Isley Brothers,"Fight The Power, Pt. 1",1975,53QzNeFpzAaXYnrDBbDrIp,classic soul,619211,https://i.scdn.co/image/23133832f41aa7fad9571a708dfde782e4fab71a
2602,28,Helen Reddy,Angie Baby,1975,0Sq7oGrYEe0BDmb13wgjOO,adult standards,58426,https://i.scdn.co/image/14d82dc5044aa3fe714a8c48c63cfc5ed0122c38
2603,29,The Ozark Mountain Daredevils,Jackie Blue,1975,7jM2XoJBKhdL8oNnDr4re9,album rock,44531,https://i.scdn.co/image/6bbf18477d162330b16d1daf422366864e929e58
2604,30,Ohio Players,Fire,1975,6m30rs1IQqnWqV5nKMpU7U,classic soul,218972,https://i.scdn.co/image/23212728cebb091acf4c1192b6f25c553c01c415
2605,31,Pilot,Magic,1975,6qiGjRyN7TJ1GA2nXF68Hi,chamber pop,167199,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
2606,32,Carpenters,Please Mr. Postman,1975,1eEfMU2AhEo7XnKgL7c304,adult standards,556592,https://i.scdn.co/image/ed45f575339b044d7168780a15ff457b85be851a
2607,33,America,Sister Golden Hair,1975,35U9lQaRWSQISxQAB94Meo,album rock,451410,https://i.scdn.co/image/185231175df036c1c337231e855b18a63a30b794
2608,34,Elton John,Lucy In The Sky With Diamonds,1975,3PhoLpVuITZKcymswpck5b,glam rock,1873729,https://i.scdn.co/image/f50ae3e5cf3637c5f486b6205468c245644be36e
2609,35,Barry Manilow,Mandy,1975,3alW3LYQS8K29z8C8NSLIX,adult standards,330768,https://i.scdn.co/image/01de5950b7a4e9d229299782504be9fb24524f47
2610,36,Olivia Newton-John,Have You Never Been Mellow,1975,4BoRxUdrcgbbq1rxJvvhg9,australian dance,260694,https://i.scdn.co/image/a9c4bea41f06c1be30efa9e06cb6e1a07f27e3f5
2611,37,Barry Manilow,Could It Be Magic,1975,3alW3LYQS8K29z8C8NSLIX,adult standards,330768,https://i.scdn.co/image/01de5950b7a4e9d229299782504be9fb24524f47
2612,38,Harry Chapin,Cat's In The Cradle,1975,42q4Ivs7tAiCZ5C7eG5q4c,folk,90939,https://i.scdn.co/image/e6d50985d563fcef497ad79afe1a898942a2ebdc
2613,39,Michael Murphy,Wildfire,1975,074sniWLpn9zkVSyiLAxii,unassigned,154,https://i.scdn.co/image/c2c87ad2daab3447c4a4a2137cf19480c04708f2
2614,40,Jessi Colter,I'm Not Lisa,1975,43HpW8B5gYRnYbSzm37n5v,country gospel,10957,https://i.scdn.co/image/5ba8e44645427160303840f8ff2141bd633ba828
2615,41,Wings,Listen To What The Man Said,1975,3sFhA6G1N0gG1pszb6kk1m,album rock,256068,https://i.scdn.co/image/826d206c73f95f1353383c17f27f22aeb628369a
2616,42,10cc,I'm Not In Love,1975,6i6WlGzQtXtz7GcC5H5st5,album rock,198221,https://i.scdn.co/image/bd85e05d8bb8ad24515a232174cbe20925048566
2617,43,Billy Swan,I Can Help,1975,6nNkKMkPl1qBCEW3Al9eVV,swamp pop,6331,https://i.scdn.co/image/d4dd44ebaa557fbd6fb67718e77b43244604d106
2618,44,"Hamilton, Joe Frank and Reynolds",Fallin' In Love,1975,7vpRSadEAzLs0ikY7gAESe,bubblegum pop,9857,https://i.scdn.co/image/2b9a7f36a4d826cec2691e2027138789a49f8f12
2619,45,Morris Albert,Feelings,1975,4sFsq7NFJ0zz0uN3Zb6QJ9,unassigned,4459,https://i.scdn.co/image/2f50d7fd572e5280101a96ad03dd35f0f2847685
2620,46,Sammy Johns,Chevy Van,1975,5L2UqkzpfZD5OpdA6fSfVH,unassigned,1016,https://i.scdn.co/image/a3f10d5557ff2f8a7b9951f090ecef596832f131
2621,47,Linda Ronstadt,When Will I Be Loved,1975,1sXbwvCQLGZnaH0Jp2HTVc,country rock,212459,https://i.scdn.co/image/b5fa3addb38ab2d59787201d9f4e2eb2d2cd41e1
2622,48,Barry White,"You're The First, The Last, My Everthing",1975,3rfgbfpPSfXY40lzRK7Syt,disco,570755,https://i.scdn.co/image/c00b771ca8b6241bcfe316f8e8a11072714e79ef
2623,49,Olivia Newton-John,Please Mr Please,1975,4BoRxUdrcgbbq1rxJvvhg9,australian dance,260694,https://i.scdn.co/image/a9c4bea41f06c1be30efa9e06cb6e1a07f27e3f5
2624,50,Linda Ronstadt,You're No Good,1975,1sXbwvCQLGZnaH0Jp2HTVc,country rock,212459,https://i.scdn.co/image/b5fa3addb38ab2d59787201d9f4e2eb2d2cd41e1
2625,51,Bazuka,Dynomite,1975,43PzkN8EmJgYzmQGfHpZbh,russian hip hop,772,https://i.scdn.co/image/4a1101c41eaf00c6f19cd8e95806f1b2b64b3c16
2626,52,Blackbyrds,Walking In Rhythm,1975,4nJ3J7RwgYmMARNAVrFb06,classic soul,23932,https://i.scdn.co/image/032fc5d0437bdda47dbbaf8fddbf298225c6af52
2627,53,Gladys Knight and The Pips,The Way We Were / Try To Remember,1975,0TF2NxkJZPQoX1H53rEFM1,brill building pop,336384,https://i.scdn.co/image/17992d522bd50efb63c2a353d2baf7d6957fb6ca
2628,54,Melissa Manchester,Midnight Blue,1975,78udmCDNaDu5jqfVnBqwia,adult standards,44690,https://i.scdn.co/image/254cce67be3a1678f32a4df21cee7d3cbcbc6251
2629,55,Sugarloaf,"Don't Call Us, We'll Call You",1975,1T3RPiMH711kvoXymKUTYH,soft rock,8519,https://i.scdn.co/image/8c1ca308ed250267cc33ce7d946c01c91e905832
2630,56,Phoebe Snow,Poetry Man,1975,3iuobQyYhofKRr5W6HZoKt,folk,16779,https://i.scdn.co/image/7ee88375539dbece3d796c1a404ce32a36baebc5
2631,57,Ace,How Long,1975,31HjiqargV4NAw4GZqUale,dirty south rap,833516,https://i.scdn.co/image/75198969d62d204a003165ca7dd5a9eaa1ea2336
2632,58,B.T. Express,Express,1975,67PmHOmt1tveILUtasiYAf,disco,36077,https://i.scdn.co/image/b09931f718ef4bca5459702a2e73238d0f7a7b4a
2633,59,"Earth, Wind and Fire",That's The Way Of The World,1975,4QQgXkCYTt3BlENzhyNETg,disco,1344293,https://i.scdn.co/image/9fd0a9822140cce668ee15263e1f73730152dff0
2634,60,Styx,Lady,1975,4salDzkGmfycRqNUbyBphh,album rock,527291,https://i.scdn.co/image/cc444d0ab1d2f3d5e82a38db3d02d9b9a50e737a
2635,61,Grand Funk,Bad Time,1975,0qEcf3SFlpRcb3lK3f2GZI,album rock,284868,https://i.scdn.co/image/b9a8fe255964dd911ed816b0f09257f41843347d
2636,62,Alice Cooper,Only Women Bleed,1975,3EhbVgyfGd7HkpsagwL9GS,album rock,1070658,https://i.scdn.co/image/592de1535702d237537915abff5baffa3c8dea89
2637,63,Carol Douglas,Doctor's Orders,1975,7xcXR8rEj6eRPVMFjUNtBe,deep disco,6318,https://i.scdn.co/image/86a094ed7ec2d14b7bcf86962a2ce50235ec9048
2638,64,K.C. and The Sunshine Band,Get Down Tonight,1975,54ABJ4WfRkVUW7TaJsh007,unassigned,105,https://i.scdn.co/image/a82d85bd56c73930631b6e508005dae9e54e5da2
2639,65,Joe Cocker,You Are So Beautiful / It's A Sin When You Love Somebody,1975,3pFCERyEiP5xeN2EsPXhjI,album rock,549109,https://i.scdn.co/image/ee38cfbef7a14bad2ecb0631f73d5b703cf0d35d
2640,66,Paul Anka and Odia Coates,One Man Woman-One Woman Man,1975,7ceUfdWq2t5nbatS6ollHh,adult standards,166297,https://i.scdn.co/image/2cf68a5624e8a646d51760740d83be8a3361cb71
2641,67,Bad Company,Feel Like Makin' Love,1975,5AEG63ajney2BoDXi0Vb84,album rock,359399,https://i.scdn.co/image/65d37e5c4ee9ef8bfb76de6a17e7c05316199724
2642,68,James Taylor,How Sweet It Is,1975,0vn7UBvSQECKJm2817Yf1P,adult standards,693925,https://i.scdn.co/image/747d0d0f181eb1c4bce048d4f905622b14647e83
2643,69,Orleans,Dance With Me,1975,1667U2YoucgG5Pdvm2M59c,album rock,37230,https://i.scdn.co/image/9a226950d0b752daeffd28889ae3a30fe958db2a
2644,70,Average White Band,Cut The Cake,1975,3tx8fyu3c4OBP5nejYtUOb,classic soul,135831,https://i.scdn.co/image/fd616d4403ed8a0d107b692a3e44c367bbaabe66
2645,71,Gloria Gaynor,Never Can Say Goodbye,1975,6V6WCgi7waF55bJmylC4H5,disco,240092,https://i.scdn.co/image/edb32ff7b2e7a102eb0ce1a2946df7a88f76423e
2646,72,Paul Anka,I Don't Like To Sleep Alone,1975,7ceUfdWq2t5nbatS6ollHh,adult standards,166297,https://i.scdn.co/image/2cf68a5624e8a646d51760740d83be8a3361cb71
2647,73,Donny and Marie Osmond,Morning Side Of The Mountain,1975,7d8R11w4QG2ihJeTaZq37F,bubblegum pop,4519,https://i.scdn.co/image/e3df7e984e2abe8205440146aaf6bfea69e5434e
2648,74,Grand Funk,Some Kind Of Wonderful,1975,0qEcf3SFlpRcb3lK3f2GZI,album rock,284868,https://i.scdn.co/image/b9a8fe255964dd911ed816b0f09257f41843347d
2649,75,Three Degrees,When Will I See You Again,1975,2zpFG5cvw00QmrYTUsjApa,classic girl group,53978,https://i.scdn.co/image/713f5221f3b532797b2c3cf1d1b2890cff0264e4
2650,76,Joe Simon,"Get Down, Get Down (Get On The Floor)",1975,5HRSYURV6LFFRCjAtiK0py,classic soul,23255,https://i.scdn.co/image/98b31da2186c6b6a2e0cdd726b052042718f97b6
2651,77,John Denver,I'm Sorry / Calypso,1975,7EK1bQADBoqbYXnT4Cqv9w,folk,426746,https://i.scdn.co/image/046c1497e9013c0d1d8c5e4ba105804409173435
2652,78,Queen,Killer Queen,1975,1dfeR4HaWDbWqFHLkxsg1d,glam rock,9295226,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
2653,79,Eddie Kendricks,Shoeshine Boy,1975,2Uuon75BhnuuxdKLYn4wHn,classic soul,92628,https://i.scdn.co/image/664f1a004773bd74a4ff5104818e4f383ef95a5e
2654,80,B.T. Express,Do It (Til You're Satisfied),1975,67PmHOmt1tveILUtasiYAf,disco,36077,https://i.scdn.co/image/b09931f718ef4bca5459702a2e73238d0f7a7b4a
2655,81,Electric Light Orchestra,Can't Get It Out Of My Head,1975,7jefIIksOi1EazgRTfW2Pk,album rock,1065741,https://i.scdn.co/image/030378e9f734621f88b8756b7be779891b1ccdef
2656,82,Al Green,Sha-La-La (Make Me Happy),1975,3dkbV4qihUeMsqN4vBGg93,classic soul,941379,https://i.scdn.co/image/3204125720ef02294bbac0ff109a5919c141955f
2657,83,America,Lonely People,1975,35U9lQaRWSQISxQAB94Meo,album rock,451410,https://i.scdn.co/image/185231175df036c1c337231e855b18a63a30b794
2658,84,Rufus,You Got The Love,1975,5Pb27ujIyYb33zBqVysBkj,alternative dance,282918,https://i.scdn.co/image/d9e14beabb527dbf82580c5cd367adaded33cd64
2659,85,Mike Post,The Rockford Files,1975,2roaPGR1goiiLQxrG5dXiF,theme,927,https://i.scdn.co/image/3ba17777d76fee85c16146d2e86a6ebc1288a682
2660,86,Tavares,It Only Takes A Minute,1975,3LfO03nEZMdWNHG2tLpMa0,classic soul,80638,https://i.scdn.co/image/657139eb6fd4b5ddc68d7954d8b0672948b6f791
2661,87,Ringo Starr,No No Song / Snookeroo,1975,6DbJi8AcN5ANdtvJcwBSw8,bubblegum pop,290149,https://i.scdn.co/image/bf05c9ed47f404fda1e5e8901edaddc10af3cac1
2662,88,Paul McCartney and Wings,Junior's Farm / Sally G,1975,4STHEaNw4mPZ2tzheohgXB,album rock,1760594,https://i.scdn.co/image/2e9e61aa45f32c8d6c35a7e407d50ce1256df210
2663,89,Jethro Tull,Bungle In The Jungle,1975,6w6z8m4WXX7Tub4Rb6Lu7R,album rock,607722,https://i.scdn.co/image/6b88837f4a883104ba27dd3621a12ec14b234c9c
2664,90,Leo Sayer,Long Tall Glasses (I Can Dance),1975,04LIHk1SobiQwt2tlupoAV,bubblegum pop,95410,https://i.scdn.co/image/0dc9f0dd6074bda3885068010eeebf29209ee836
2665,91,Elton John,Someone Saved My Life Tonight,1975,3PhoLpVuITZKcymswpck5b,glam rock,1873729,https://i.scdn.co/image/f50ae3e5cf3637c5f486b6205468c245644be36e
