,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
2475,1,Barbra Streisand,The Way We Were,1974,7jmTilWYlKOuavFfmQAcu6,adult standards,363531,https://i.scdn.co/image/f0ee6bc4322a8a9525f4fffa568228807e03f588
2476,2,Terry Jacks,Seasons In The Sun,1974,09dDdtfi4mWLdC2BHOrIrl,unassigned,10565,https://i.scdn.co/image/17b4b49f23e1784fcd275f70aa9f56a6d1a30ea2
2477,3,Love Unlimited Orchestra,Love's Theme,1974,457yGSZecENoIuNWelRHhH,disco,25566,https://i.scdn.co/image/96767248d94d47b3fe455cc1c09f92b2d9e78a7f
2478,4,Redbone,Come And Get Your Love,1974,0w7HLMvZOHatWVbAKee1zF,native american,43527,https://i.scdn.co/image/300f8be021997fedd811bccf25a9e92f95f4d7bf
2479,5,Jackson 5,Dancing Machine,1974,2iE18Oxc8YSumAU232n4rW,motown,613021,https://i.scdn.co/image/19f768d93f6c80f7d4ca5b906e1c0376a3704389
2480,6,Grand Funk Railroad,The Loco-Motion,1974,0qEcf3SFlpRcb3lK3f2GZI,album rock,284868,https://i.scdn.co/image/b9a8fe255964dd911ed816b0f09257f41843347d
2481,7,MFSB,TSOP,1974,2mknvtcck8i82nKxDPDibv,classic soul,21315,https://i.scdn.co/image/6cbfae14eddad13d28b7b82567ff145a41d1e597
2482,8,Ray Stevens,The Streak,1974,7MpUvihmfilIxyN20kXwQj,bubblegum pop,25733,https://i.scdn.co/image/53c953c667a55091b1a55d7c28f7482a8a44b039
2483,9,Elton John,Bennie And The Jets,1974,3PhoLpVuITZKcymswpck5b,glam rock,1873729,https://i.scdn.co/image/f50ae3e5cf3637c5f486b6205468c245644be36e
2484,10,Mac Davis,One Hell Of A Woman,1974,6HX8AbXUFaYRtlqKb4CCo0,bubblegum pop,12704,https://i.scdn.co/image/12f942c6eeca62dff58738c8958ca3a9cf473b03
2485,11,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),1974,7nwUJBm0HE4ZxD3f5cy5ok,christmas,1536786,https://i.scdn.co/image/c5662abce23781f86275ea6540c6e299845f8d82
2486,12,Kool and The Gang,Jungle Boogie,1974,3VNITwohbvU5Wuy5PC6dsI,disco,724132,https://i.scdn.co/image/60546a9f9a406f1a553601b699aab0e133395d3f
2487,13,Maria Muldaur,Midnight At The Oasis,1974,2VUiF0VFkXzB0DLg9AzrqT,unassigned,7346,https://i.scdn.co/image/e93a1fd83bee52d1f21c305c9feae2e7480c53ef
2488,14,Stylistics,You Make Me Feel Brand New,1974,2O0Hw1WSMbskB5tD9aWah3,adult standards,252440,https://i.scdn.co/image/3e256a3f4a552d9a3dcdedf1ef4d384a484b3c84
2489,15,Al Wilson,Show And Tell,1974,2RwV62DIxFGEn8aWO3iaMM,classic soul,6561,https://i.scdn.co/image/9836528de3035ce8d0df8806ca760271a43837e9
