,Rank,Artist,Song,Year,Artist_ID
58,59,Dorival Caymmi,O Mar,1941,7zsxdMsODmHKTbTB00t9wS
59,60,Glenn Miller,Adios,1941,2aAHdB5HweT3mFcRzm0swc
60,61,Tommy Dorsey & Frank Sinatra,Two in Love,1941,54FDp72KY4nwzrERQY5am1
61,62,Jimmy Dorsey,Jim,1941,3xPpQCRiTBxgmL4PD8J5ek
62,63,Harry James,By the Sleepy Lagoon,1941,5MpELOfAiq7aIBTij30phD
63,64,Ray Noble,By the Light of the Silvery Moon,1941,6u5MW3QnHHBZ8FwzHq12DD
64,65,Horace Heidt,The Hut Sut Song (A Swedish Serenade),1941,71EDwhmGGw7PlLGTm99jCK
65,66,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)",1941,23NUp4EWSmMANtTosuwrGS
66,67,Xavier Cugat,Green Eyes,1941,44w5lL6V07MCIaEX3aba8R
67,68,Xavier Cugat,"Chica, Chica, Boom, Chic",1941,44w5lL6V07MCIaEX3aba8R
68,69,Joel & Gaucho,Aurora,1941,1pqT6NrsWFo1W01sOP1rPX
69,70,Jay McShann,Vine Street Blues,1941,1qZnWtvzKVV0lJQZBapchU
70,71,Glenn Miller,I Know Why,1941,2aAHdB5HweT3mFcRzm0swc
71,72,Tommy Dorsey,Do I Worry?,1941,4WoGga7UeRcmjD4ufif4nG
72,73,The Andrews Sisters,Bounce Me Brother,1941,2NCGI6dLTxLdI9XHdv7QfM
73,74,Harry James,You Made Me Love You (I Didn't Want to Do It),1941,5MpELOfAiq7aIBTij30phD
74,75,Pedro Vargas,Besame Mucho,1941,1ZsL2cs2MYJKqwkVwdGtOd
75,76,Kay Kyser,(Lights Out) Til Reveille,1941,23NUp4EWSmMANtTosuwrGS
76,77,Tony Martin,The Last Time I Saw Paris,1941,0EFbbYqV2BDlRwk7A1SGtb
77,78,Tommy Tucker,I Don't Want to Set the World On Fire,1941,3Hu7yAx1kVULnXjSznYZRf
78,79,Guy Lombardo,Intermezzo (Souvenir De Vienne),1941,5u5O35ppRJaOpOrU1CeKEW
79,80,Anjos do Inferno,Voce Ja Foi a Bahia?,1941,6FOhbY2zC8BeJcpU19tVcv
80,1, The Glenn Miller Orchestra, Moonlight Cocktail,1942,7yJ74d8IUMgW1u8CHgxU6U
81,2, The Glenn Miller Orchestra, (I've Got a Gal In) Kalamazoo,1942,7yJ74d8IUMgW1u8CHgxU6U
82,3, Tommy Dorsey and His Orchestra, There Are Such Things,1942,10nZMl7o7nE6EEXqFT0UUK
83,4, Bing Crosby, White Christmas,1942,6ZjFtWeHP9XN7FeKSUe80S
84,5, Harry James and His Orchestra, I Had the Craziest Dream,1942,1eyNnEUKJSZP6LkQ3fRMZi
85,6, Harry James and His Orchestra, Sleepy Lagoon,1942,1eyNnEUKJSZP6LkQ3fRMZi
86,7, Jimmy Dorsey and His Orchestra, Tangerine,1942,3z5VqEvu6RJ4Abtah3lTsg
87,8, Kay Kyser and His Orchestra, Jingle Jangle Jingle,1942,23NUp4EWSmMANtTosuwrGS
88,9, Woody Herman and His Orchestra, Blues in the Night (My Mama Done TolMe),1942,7CUcJMFBfSARR8js036QOn
89,10, The Glenn Miller Orchestra, A String of Pearls,1942,7yJ74d8IUMgW1u8CHgxU6U
90,11, The Glenn Miller Orchestra, Don't Sit Under the Apple Tree (With Anyone else But Me),1942,7yJ74d8IUMgW1u8CHgxU6U
91,12, Kay Kyser and His Orchestra, Who Wouldnt Love You,1942,23NUp4EWSmMANtTosuwrGS
92,13, Benny Goodman and His Orchestra, Jersey Bounce,1942,44op4qIuRteX82594vAhMn
93,14, The Glenn Miller Orchestra, Serenade in Blue,1942,7yJ74d8IUMgW1u8CHgxU6U
94,15, Vaughn Monroe, When the Lights Go On Again (All Over the World),1942,5TD3Mad384osX9K8DLkx7L
95,16, Kay Kyser and His Orchestra, Praise the Lord and Pass the Ammunition!,1942,23NUp4EWSmMANtTosuwrGS
96,17, Harry James and His Orchestra, I Don't Want to Walk without You,1942,1eyNnEUKJSZP6LkQ3fRMZi
97,18, Charlie Spivak and His Orchestra, My Devotion,1942,6TsDdnJujwhkuAzXkqqsUE
98,19, Kay Kyser and His Orchestra, He Wears a Pair of Silver Wings,1942,23NUp4EWSmMANtTosuwrGS
99,20, Alvino Rey and His Orchestra, I Said No!,1942,4DxQK7b2NmfwBZyF7IqRIM
100,21, Five, Mister Five,1942,04gDigrS5kc9YWfZHwBETP
101,22, Spike Jones and His City Slickers, Der Fuehrers Face,1942,3LPgSuOiE17GPcZ4ACDwlL
102,23, Tommy Dorsey and His Orchestra, Just As Though You Were Here,1942,10nZMl7o7nE6EEXqFT0UUK
103,24, Alvino Rey and His Orchestra, Deep in the Heart of Texas,1942,4DxQK7b2NmfwBZyF7IqRIM
104,25, Swing and Sway with Sammy Kaye, I Left My Heart At the Stage Door Can'teen,1942,6DZ2bVND1yFu4RX1CCliFE
105,26, Bing Crosby, Deep in the Heart of Texas,1942,6ZjFtWeHP9XN7FeKSUe80S
106,27, Swing and Sway with Sammy Kaye, Remember Pearl Harbor,1942,6DZ2bVND1yFu4RX1CCliFE
107,28, Harry James and His Orchestra, One Dozen Roses,1942,1eyNnEUKJSZP6LkQ3fRMZi
108,29, The Merry Macs, Jingle Jangle Jingle,1942,1GdTErb29TNkiEGWrNGAeH
109,30, Dinah Shore, Blues in the Night,1942,73xrrv4ZrlpLi1q0Q34wiK
110,31, Jimmie Lunceford and His Orchestra, Blues in the Night (My Mama Done TolMe) (Parts 1 & 2),1942,5C1s7og01vLEIGIMMoLraQ
111,32, Benny Goodman and His Orchestra, I'daho,1942,44op4qIuRteX82594vAhMn
112,33, Abe Lyman and His Californians, Amen,1942,3DxTcNTZBxqje8Me5qGkIf
113,34, Russ Morgan, Somebody Else Is Taking My Place,1942,2yvPlnxRWTogtl4YdUSaIO
114,35, Benny Goodman and His Orchestra, Somebody Else Is Taking My Place,1942,44op4qIuRteX82594vAhMn
115,36, Harry James and His Orchestra, Strictly Instrumental,1942,1eyNnEUKJSZP6LkQ3fRMZi
116,37, Vaughn Monroe, My Devotion,1942,5TD3Mad384osX9K8DLkx7L
117,38, Woody Herman and His Orchestra, Amen,1942,7CUcJMFBfSARR8js036QOn
118,39, Tommy Dorsey and His Orchestra, Take Me,1942,10nZMl7o7nE6EEXqFT0UUK
119,40, Kay Kyser and His Orchestra, Strip Polka,1942,23NUp4EWSmMANtTosuwrGS
120,42, The Andrews Sisters, Strip Polka,1942,2NCGI6dLTxLdI9XHdv7QfM
121,43, Five, Mr Five,1942,04gDigrS5kc9YWfZHwBETP
122,44, The Glenn Miller Orchestra, Sweet Eloise,1942,7yJ74d8IUMgW1u8CHgxU6U
123,45, The Glenn Miller Orchestra, Skylark,1942,7yJ74d8IUMgW1u8CHgxU6U
124,46, The Glenn Miller Orchestra, Juke Box Saturday Night,1942,7yJ74d8IUMgW1u8CHgxU6U
125,47, The Glenn Miller Orchestra, Everything I Love,1942,7yJ74d8IUMgW1u8CHgxU6U
126,48, Johnny Mercer, Strip Polka,1942,5cBHm2CXrbncYIDzrxF4Vi
127,49, Freddie Slack and His Orchestra, Cow-Cow Boogie,1942,4sDUl3F44oqvU3YQm8HmBw
128,50, Horace Heidt and His Musical Knights, Deep in the Heart of Texas,1942,71EDwhmGGw7PlLGTm99jCK
129,51, Kay Kyser and His Orchestra, (Therell Be Bluebirds Over) The White Cliffs of Dover,1942,23NUp4EWSmMANtTosuwrGS
130,52, Dinah Shore, One Dozen Roses,1942,73xrrv4ZrlpLi1q0Q34wiK
131,53, The Merry Macs, Praise the Lord and Pass the Ammunition!,1942,1GdTErb29TNkiEGWrNGAeH
132,54, Dinah Shore, Miss You,1942,73xrrv4ZrlpLi1q0Q34wiK
133,55, Kate Smith, Rose ODay (The Filla-Ga-Dusha Song),1942,1oTc5uL1Jrp1VwqdJrW7TT
134,56, Glen Gray and the Casa Loma Orchestra, One Dozen Roses,1942,037LqLNDfDvFupasyqgreK
135,57, Kay Kyser and His Orchestra, Johnny Doughboy Found a Rose in Ireland,1942,23NUp4EWSmMANtTosuwrGS
136,58, Charlie Spivak and His Orchestra, This Is No Laughing Matter,1942,6TsDdnJujwhkuAzXkqqsUE
137,59, Alvino Rey and His Orchestra, Strip Polka,1942,4DxQK7b2NmfwBZyF7IqRIM
138,60, Charlie Spivak and His Orchestra, I Left My Heart At the Stage Door Can'teen,1942,6TsDdnJujwhkuAzXkqqsUE
139,61, Freddy Martin and His Orchestra, Tonight We Love,1942,0Y4Uq2iVYJpOfvERQ1siqO
140,62, Cab Calloway, Blues in the Night (My Mama Done TolMe),1942,03cwCzIWQ8BRmXjGPDAL04
141,63, Kay Kyser and His Orchestra, A Zoot Suit (For My Sunday Gal),1942,23NUp4EWSmMANtTosuwrGS
142,64, The Glenn Miller Orchestra, At Last,1942,7yJ74d8IUMgW1u8CHgxU6U
143,65, Bing Crosby, Miss You,1942,6ZjFtWeHP9XN7FeKSUe80S
144,66, Bing Crosby, I Don't Want to Walk without You,1942,6ZjFtWeHP9XN7FeKSUe80S
145,67, Harry James and His Orchestra, Manhattan Serenade,1942,1eyNnEUKJSZP6LkQ3fRMZi
146,68, Guy Lombardo and His Royal Canadians, Johnny Doughboy Found a Rose in Ireland,1942,7boMgFpwLGa82CQIC6FhuE
147,69, Jimmy Dorsey and His Orchestra, Jersey Bounce,1942,3z5VqEvu6RJ4Abtah3lTsg
148,70, Jimmy Dorsey and His Orchestra, I Remember You,1942,3z5VqEvu6RJ4Abtah3lTsg
149,71, Harry James and His Orchestra, Hes My Guy,1942,1eyNnEUKJSZP6LkQ3fRMZi
150,72, Kate Smith, (Therell Be Bluebirds Over) The White Cliffs of Dover,1942,1oTc5uL1Jrp1VwqdJrW7TT
151,73, The Glenn Miller Orchestra, Always in My Heart,1942,7yJ74d8IUMgW1u8CHgxU6U
152,74, Tommy Dorsey and His Orchestra, Daybreak,1942,10nZMl7o7nE6EEXqFT0UUK
153,75, Dinah Shore, Dearly Beloved,1942,73xrrv4ZrlpLi1q0Q34wiK
154,76, Benny Goodman and His Orchestra, Take Me,1942,44op4qIuRteX82594vAhMn
155,77, Jimmy Dorsey and His Orchestra, My Devotion,1942,3z5VqEvu6RJ4Abtah3lTsg
156,78, Jimmy Dorsey and His Orchestra, I Said No,1942,3z5VqEvu6RJ4Abtah3lTsg
157,79, Lucky Millinder and His Orchestra, When the Lights Go On Again (All Over the World),1942,4q1UCLTG6CYQyaRe2o60ua
158,80, Jimmy Dorsey and His Orchestra, Brazil (Aquarela Do Brasil),1942,3z5VqEvu6RJ4Abtah3lTsg
159,81, Paul Whiteman & His Orchestra, TravlinLight,1942,0tIS1GWwrWqr4DHK0RLg5u
161,83, Bing Crosby, Be Careful It's My Heart,1942,6ZjFtWeHP9XN7FeKSUe80S
162,84, Kenny Baker, Johnny Doughboy Found a Rose in Ireland,1942,2hdWa1ITLNBBtU5CM0m2Jg
163,85, The Merry Macs, Deep in the Heart of Texas,1942,1GdTErb29TNkiEGWrNGAeH
164,86, Johnnie Johnston, Dearly Beloved,1942,2N8IGAlqW9mc9nxVlYcCuG
165,87, Dinah Shore, I Don't Want to Walk without You,1942,73xrrv4ZrlpLi1q0Q34wiK
166,88, Tommy Dorsey and His Orchestra, Manhattan Serenade,1942,10nZMl7o7nE6EEXqFT0UUK
167,89, Tommy Dorsey and His Orchestra, Be Careful It's My Heart,1942,10nZMl7o7nE6EEXqFT0UUK
168,90, The Glenn Miller Orchestra, American Patrol,1942,7yJ74d8IUMgW1u8CHgxU6U
169,91, The Glenn Miller Orchestra, The Story of a Starry Night,1942,7yJ74d8IUMgW1u8CHgxU6U
170,92, Alvino Rey and His Orchestra, I'daho,1942,4DxQK7b2NmfwBZyF7IqRIM
171,93, Swing and Sway with Sammy Kaye, (Therell Be Blue Birds Over) The White Cliffs of Dover,1942,6DZ2bVND1yFu4RX1CCliFE
172,94, Harry James and His Orchestra, Skylark,1942,1eyNnEUKJSZP6LkQ3fRMZi
173,95, Tommy Dorsey and His Orchestra, How About You?,1942,10nZMl7o7nE6EEXqFT0UUK
174,96, Ray Noble and His Orchestra, By the Light of the Silvry Moon,1942,6u5MW3QnHHBZ8FwzHq12DD
175,97, Freddy Martin and His Orchestra, A Touch of Texas,1942,0Y4Uq2iVYJpOfvERQ1siqO
176,98, Gordon Jenkins and His Orchestra, White Christmas,1942,2zxOdG2ascAD3oLdP03mYU
177,99, Freddy Martin and His Orchestra, Johnny Doughboy Found a Rose in Ireland,1942,0Y4Uq2iVYJpOfvERQ1siqO
178,100, Vaughn Monroe, Tangerine,1942,5TD3Mad384osX9K8DLkx7L
179,1, Mills Brothers, Paper Doll,1943,5v8bwWRbu7AI3YFhzoM6Ha
180,2, Bing Crosby," Oh, What a Beautiful Mornin'",1943,6ZjFtWeHP9XN7FeKSUe80S
181,3, Rudy Vallee, As Time Goes By,1943,1HQEVO4UcNxifjZU4KfyXP
182,4, Alfred Drake, Oklahoma!,1943,7DDaQqjdIkLxhp1jQyxLux
183,5, Harry James with Helen Forrest, I've Heard That Song Before,1943,1eyNnEUKJSZP6LkQ3fRMZi
184,6, Duke Ellington, Sentimental Lady,1943,4F7Q5NV6h5TSwCainz8S5A
185,7, The Ink Spots, Don't Get Around Much Anymore,1943,5bOsFzuJ6QZMr86ezC4oXY
186,8, Glenn Miller, That Old Black Magic,1943,2aAHdB5HweT3mFcRzm0swc
187,9, Lena Horne, Stormy Weather,1943,2I6nP70ltmOHi6xjJUXHMe
188,10, Benny Goodman, Taking a Chance on Love,1943,1pBuKaLHJlIlqYxQQaflve
189,11, Bing Crosby," Sunday, Monday or Always",1943,6ZjFtWeHP9XN7FeKSUe80S
190,12, The Song Spinners, Comin In on a Wing and a Prayer,1943,3fWEHlDnFMVJlFPil1iqeT
191,13, Tommy Dorsey, There Are Such Things,1943,4WoGga7UeRcmjD4ufif4nG
192,14, Dick Haymes, You'll Never Know,1943,3BiJGZsyX9sJchTqcSA7Su
193,15, Al Dexter & His Troops, Pistol PackinMama,1943,49tS3TTwFNW1O1KsY6IbJO
194,16, Harry James, I Had The Craziest Dream,1943,5MpELOfAiq7aIBTij30phD
195,17, Tommy Dorsey, In the Blue of the Evening,1943,4WoGga7UeRcmjD4ufif4nG
196,18, Judy Garland, Zing! Went the Strings of My Heart,1943,0hItVPjwJLVZrFqOyIsxPf
197,19, Tommy Dorsey, Boogie Woogie,1943,4WoGga7UeRcmjD4ufif4nG
198,20, Dinah Shore, Youd Be So Nice To Come Home to,1943,73xrrv4ZrlpLi1q0Q34wiK
199,21, Harry James, Two OClock Jump,1943,5MpELOfAiq7aIBTij30phD
200,22, Glenn Miller, Juke Box Saturday Night,1943,2aAHdB5HweT3mFcRzm0swc
201,23, Vaughn Monroe, When The Lights Go On Again (All Over The World),1943,5TD3Mad384osX9K8DLkx7L
202,24, Bing Crosby, People Will Say Were in Love,1943,6ZjFtWeHP9XN7FeKSUe80S
203,25, Kay Kyser, Praise The Lord and Pass the Ammunition,1943,23NUp4EWSmMANtTosuwrGS
204,26, Frank Sinatra, You'll Never Know,1943,1Mxqyy3pSjf8kZZL4QVxS0
205,27, Stan Kenton, Artistry In Rhythm,1943,27hSR8e34ZM5vj5fUFixyb
206,28, Jimmy Wakely, Theres A Star Spangled Banner Waving Somewhere,1943,1bkPltv18ZrFr2IhEdIae5
207,29, Erskine Hawkins, Don't Cry Baby,1943,56FeQ03tAPYJ2gwmGhrpbF
208,30, Duke Ellington, Perdido,1943,4F7Q5NV6h5TSwCainz8S5A
209,31, Frank Sinatra, People Will Say Were in Love,1943,1Mxqyy3pSjf8kZZL4QVxS0
210,32, Duke Ellington, Don't Get Around Much Anymore,1943,4F7Q5NV6h5TSwCainz8S5A
211,33, Vaughn Monroe, Lets Get Lost,1943,5TD3Mad384osX9K8DLkx7L
212,34, Harry James, Mister Five By Five,1943,5MpELOfAiq7aIBTij30phD
213,35, Bing Crosby, Moonlight Becomes You,1943,6ZjFtWeHP9XN7FeKSUe80S
214,36, King Cole Trio, All for You,1943,3OpnoUqoRIHWbsFs4Nw0NQ
215,37, Benny Goodman, Why Don't You Do Right,1943,1pBuKaLHJlIlqYxQQaflve
216,38, Fred Astaire, I'm Old Fashioned,1943,4BtDAwCZhR6nPrJtbVgQNX
217,39, Xavier Cugat, Brazil,1943,44w5lL6V07MCIaEX3aba8R
218,40, Ella Mae Morse, Shoo-Shoo Baby,1943,0qGFARKf4pfodYjZbj5N4v
219,1, Bing Crosby, Swinging On A Star,1944,6ZjFtWeHP9XN7FeKSUe80S
