,Rank,Artist,Song,Year,Artist_ID
1867,85,Janis Ian,Society's Child,1967,5c9uFWpZY2MTlk7Rft0tgp
1868,86,Neil Diamond,"Girl, You'll Be A Woman Soon",1967,7mEIug7XUlQHikrFxjTWes
1869,87,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,3koiLjNrgRTNbOwViDipeA
1870,88,Sandy Posey,I Take It Back,1967,5Xh0e6sCvMXJUNVa4oynvx
1871,89,Tremeloes,Here Comes My Baby,1967,2VL8sLEJ6lHEwocjc1pN9w
1872,90,Robert Knight,Everlasting Love,1967,5KDZj6hNRCnAhsebEgd0MB
1873,91,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967,6yrBBtqX2gKCHCrZOYBDrB
1874,92,Bill Cosby,Little Ole Man (Uptight-Everything's Alright),1967,4JeqRr8Upw5uxLEu6jgIRm
1875,93,Electric Prunes,I Had Too Much To Dream Last Night,1967,1kkpNi8Ii5MhBMxmUhN5g9
1876,94,Monkees,Daydream Believer,1967,320EPCSEezHt1rtbfwH6Ck
1877,95,Johnny Rivers,Baby I Need Your Lovin',1967,3TiISqKS6ESlMQ4WFfZJw2
1878,96,Who,I Can See For Miles,1967,67ea9eGLXYMsO2eYQRui3w
1879,97,Tommy James and The Shondells,Mirage,1967,01hRNr3yF5bYnPq4wZ88iI
1880,98,Tom Jones,"Green, Green Grass Of Home",1967,1T0wRBO0CK0vK8ouUMqEl5
1881,99,Petula Clark,Don't Sleep In The Subway,1967,6nKqt1nbSBEq3iUXD1Xgz8
1882,100,Neil Diamond,Thank The Lord For The Night Time,1967,7mEIug7XUlQHikrFxjTWes
1883,1,Beatles,Hey Jude,1968,3WrFJ7ztbogyGnTHbHJFl2
1884,2,Paul Mauriat,Love Is Blue,1968,5Oj26LEf8jdgR2woWEjlhi
1885,3,Bobby Goldsboro,Honey,1968,5gPEo032lzARtzuVqJIm9o
1886,4,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,60df5JBRRPcnSpsIMxxwQm
1887,5,Rascals,People Got To Be Free,1968,5X3TuTi9OIsJXMGxPwTKM2
1888,6,Cream,Sunshine Of Your Love,1968,74oJ4qxwOZvX6oSsu1DGnw
1889,7,Herb Alpert,This Guy's In Love With You,1968,09L3cUdx0hq6qn5bKuJJ4I
1890,8,Hugo Montenegro,"The Good, The Bad And The Ugly",1968,0JBc7Jztn7EdEVjyMCN6Wi
1891,9,Simon and Garfunkel,Mrs. Robinson,1968,70cRZdQywnSFp9pnc2WTCE
1892,10,Archie Bell and The Drells,Tighten Up,1968,1kupwLFpHALpmhp5qol8xH
1893,11,Jeannie C. Riley,Harper Valley P.T.A.,1968,3MIwMeYV8vmgQFbbRiJTp2
1894,12,O.C. Smith,Little Green Apples,1968,7qVAJPCHuOiMxlJ7h9xEAA
1895,13,Tommy James and The Shondells,"Mony, Mony",1968,01hRNr3yF5bYnPq4wZ88iI
1896,14,Doors,"Hello, I Love You",1968,22WZ7M8sxp5THdruNY3gXt
1897,15,Gary Puckett and The Union Gap,Young Girl,1968,4asCC4oxQcDzFXhCth2SgQ
1898,16,Box Tops,Cry Like A Baby,1968,3KGQvnOoqUHi3KxKQMZtXr
1899,17,Fifth Dimension,Stoned Soul Picnic,1968,1UUYAQ9LiRsZF0ZukQNWXM
1900,18,Hugh Masekela,Grazing In The Grass,1968,1b3F5FI7TX4IWTNA4P1kWp
1901,19,Grass Roots,Midnight Confessions,1968,2IU5UBup85LmAXh5U36DeC
1902,20,Sly and The Family Stone,Dance To The Music,1968,5m8H6zSadhu1j9Yi04VLqD
1903,21,Cliff Nobles and Co.,The Horse,1968,0i0ELbteoVYQDbSNCU3Spz
1904,22,Temptations,I Wish It Would Rain,1968,3RwQ26hR2tJtA8F9p2n7jG
1905,23,Delfonics,La-La Means I Love You,1968,6YPRXu1dazGYcSZv4HJEH4
1906,24,Vogues,"Turn Around, Look At Me",1968,0Ma8KxtvoIDSU5fHtuTS9F
1907,25,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968,2woGum3OHHSQl0YK54jQKL
1908,26,Classics IV,Spooky,1968,6XGJvNG372fPJ2TV2OoN0Z
1909,27,Diana Ross and The Supremes,Love Child,1968,0rXI0q8Cahq6numvPlloaq
1910,28,Merrilee Rush,Angel Of The Morning,1968,5TnMVQgTIbp6z3AydwnHW6
1911,29,Georgie Fame,The Ballad Of Bonnie And Clyde,1968,5rWKAmlxinr3muqedXVIHa
1912,30,Mary Hopkin,Those Were The Days,1968,5pBljwfwnohfSNDXixEYHm
1913,31,Steppenwolf,Born To Be Wild,1968,1WRM9i067hd2ujxxi8FI3m
1914,32,Intruders,Cowboys To Girls,1968,30q5mqJmdYPaKabPMytzvv
1915,33,1910 Fruitgum Company,Simon Says,1968,17vIaBTHJOVxnU4v7t1DiY
1916,34,Gary Puckett and The Union Gap,Lady Willpower,1968,4asCC4oxQcDzFXhCth2SgQ
1917,35,Rascals,A Beautiful Morning,1968,5X3TuTi9OIsJXMGxPwTKM2
1918,36,Sergio Mendes and Brasil '66,The Look Of Love,1968,6hCsqVHnBo1BVQWuIjRMkL
1919,37,Johnny Nash,Hold Me Tight,1968,0nAVvgfE9yI4DwvMiYwk8a
1920,38,Ohio Express,"Yummy, Yummy, Yummy",1968,6EHdKd4m8DzNf9NhVeJSVI
1921,39,Crazy World Of Arthur Brown,Fire,1968,2LpdhgwN0mYKMjnzrBQU8H
1922,40,Troggs,Love Is All Around,1968,57xdnSVt4ahJCIXYLieQ25
1923,41,Gene and Debbe,Playboy,1968,4TKZSf5u6B01KbQizymC0p
1924,42,Dionne Warwick,(Theme From) Valley Of The Dolls,1968,2JSjCHK79gdaiPWdKiNUNp
1925,43,Mason Williams,Classical Gas,1968,1XgVoPT2Va5L64LFzskVBW
1926,44,Clarence Carter,Slip Away,1968,7lffJlv0nRl0sIsHDmo0SB
1927,45,O'Kaysions,Girl Watcher,1968,1LewRrFZKW8ktXwW01njJL
1928,46,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1968,7nwUJBm0HE4ZxD3f5cy5ok
1929,47,Lemon Pipers,Green Tambourine,1968,2rUmEpDSHKMhamwClclHs5
1930,48,1910 Fruitgum Company,"1, 2, 3, Red Light",1968,17vIaBTHJOVxnU4v7t1DiY
1931,49,Friend and Lover,Reach Out Of The Darkness,1968,7k9JXkYLc9TBFynG860BC3
1932,50,Rolling Stones,Jumpin' Jack Flash,1968,22bE4uQ6baNwSHPVcDxLCe
1933,51,Richard Harris,MacArthur Park,1968,30Qh39o424P9qgdHNVouvo
1934,52,Jose Feliciano,Light My Fire,1968,7K78lVZ8XzkjfRSI7570FF
1935,53,People,I Love You,1968,7gP3bB2nilZXLfPHJhMdvc
1936,54,Percy Sledge,Take Time To Know Her,1968,3rRmDmzPcAFwcUDvG5gBqO
1937,55,Status Quo,Pictures Of Matchstick Men,1968,4gIdjgLlvgEOz7MexDZzpM
1938,56,Blue Cheer,Summertime Blues,1968,4PI5IHRvANLL76O5gRmGKL
1939,57,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968,3koiLjNrgRTNbOwViDipeA
1940,58,James Brown and The Famous Flames,I Got The Feelin',1968,32r72WOqqRO1DtSznId7Lr
1941,59,Bee Gees,I've Gotta Get A Message To You,1968,1LZEQNv7sE11VDY3SdxQeN
1942,60,Beatles,Lady Madonna,1968,3WrFJ7ztbogyGnTHbHJFl2
1943,61,Donovan,Hurdy Gurdy Man,1968,6vLlQYujOujIrm7zAKzEdG
1944,62,Steppenwolf,Magic Carpet Ride,1968,1WRM9i067hd2ujxxi8FI3m
1945,63,Fireballs,Bottle Of Wine,1968,6Rboxwjnvu3wLcwzhlnaSO
1946,64,Dells,Stay In My Corner,1968,0wbrRIw2po5DV4LeaHw55S
1947,65,Willie Mitchell,Soul Serenade,1968,3EkURHRbSZWjatYLo36NMS
1948,66,Tom Jones,Delilah,1968,1T0wRBO0CK0vK8ouUMqEl5
1949,67,Human Beinz,Nobody But Me,1968,7KdxWrkwsSjIxyHL0HNtiv
1950,68,Sam and Dave,I Thank You,1968,2BVYdY4PyfCF9z4NrkhEB2
1951,69,Sergio Mendes and Brasil '66,The Fool On The Hill,1968,6hCsqVHnBo1BVQWuIjRMkL
1952,70,Eric Burdon and The Animals,Sky Pilot,1968,70tMW5bZT3TJUa1CWtfVkq
1953,71,Cowsills,Indian Lake,1968,4ZSzroBNV7HzBDO9aohuF1
1954,72,Tommy Boyce and Bobby Hart,I Wonder What She's Doing Tonight,1968,6V92xGMFMr4619y6ZvEUFR
1955,73,Gary Puckett and The Union Gap,Over You,1968,4asCC4oxQcDzFXhCth2SgQ
1956,74,Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,1968,3lzlUccNrekC1oFPCjNIOX
1957,75,Stevie Wonder,Shoo-Bee-Doo-Be-Doo-Da-Day,1968,7guDJrEfX3qb6FEbdPA5qi
1958,76,Irish Rovers,The Unicorn,1968,0tkKwWigaADLYB9HdFCjYo
1959,77,Vanilla Fudge,(You Keep Me) Hangin' On,1968,0vIMq3W8V63uR4Ymgm2pF1
1960,78,Beatles,Revolution,1968,3WrFJ7ztbogyGnTHbHJFl2
1961,79,Gary Puckett and The Union Gap,"Woman, Woman",1968,4asCC4oxQcDzFXhCth2SgQ
1962,80,Turtles,Elenore,1968,3GjVVVcFmUgEJEAAsbGkf4
1963,81,Cream,White Room,1968,74oJ4qxwOZvX6oSsu1DGnw
1964,82,Marvin Gaye and Tammi Terrell,You're All I Need To Get By,1968,3koiLjNrgRTNbOwViDipeA
1965,83,Foundations,"Baby, Now That I've Found You",1968,4GITZM5LCR2KcdlgEOrNLD
1966,84,Sweet Inspirations,Sweet Inspiration,1968,1wonEkTZkBGYq7J4w56yZl
1967,85,Smokey Robinson and The Miracles,If You Can Want,1968,6TKOZZDd5uV5KnyC5G4MUt
1968,86,Mills Brothers,Cab Driver,1968,5v8bwWRbu7AI3YFhzoM6Ha
1969,87,Chambers Brothers,Time Has Come Today,1968,0OwaxYpG77PWKSLtj1QzG8
1970,88,Dionne Warwick,Do You Know The Way To San Jose,1968,2JSjCHK79gdaiPWdKiNUNp
1971,89,Simon and Garfunkel,Scarborough Fair / Canticle,1968,70cRZdQywnSFp9pnc2WTCE
1972,90,James Brown and The Famous Flames,Say It Loud I'm Black And I'm Proud,1968,32r72WOqqRO1DtSznId7Lr
1973,91,Manfred Mann,The Mighty Quinn,1968,2utNxkLhreF1oIfO8kQT3q
1974,92,Shorty Long,Here Comes The Judge,1968,3J11x63maeBtbx8zXgzftQ
1975,93,Aretha Franklin,I Say A Little Prayer,1968,7nwUJBm0HE4ZxD3f5cy5ok
1976,94,Aretha Franklin,Think,1968,7nwUJBm0HE4ZxD3f5cy5ok
1977,95,Gary Lewis and The Playboys,Sealed With A Kiss,1968,0XTxadWXVyfB8eTIYOjMYj
1978,96,Big Brother and The Holding Company,Piece Of My Heart,1968,4J69yWrKwWJgjv3DKTZcGo
1979,97,Creedence Clearwater Revival,Suzie Q.,1968,3IYUhFvPQItj6xySrBmZkd
1980,98,American Breed,Bend Me Shape,1968,77ZSVx5tJdeJdJsdJ3z2UX
1981,99,Jerry Butler,"Hey, Western Union Man",1968,0U2mUJuJkthantMGmsJygP
1982,100,Jerry Butler,Never Give You Up,1968,0U2mUJuJkthantMGmsJygP
1983,1,Archies,"Sugar, Sugar",1969,33QmoCkSqADuQEtMCysYLh
1984,2,Fifth Dimension,Aquarius / Let The Sunshine In,1969,1UUYAQ9LiRsZF0ZukQNWXM
1985,3,Temptations,I Can't Get Next To You,1969,3RwQ26hR2tJtA8F9p2n7jG
1986,4,Rolling Stones,Honky Tonk Women,1969,22bE4uQ6baNwSHPVcDxLCe
1987,5,Sly and The Family Stone,Everyday People,1969,5m8H6zSadhu1j9Yi04VLqD
1988,6,Tommy Roe,Dizzy,1969,7t4XHvWfj0XtEB8SNFeALw
1989,7,Sly and The Family Stone,Hot Fun In The Summertime,1969,5m8H6zSadhu1j9Yi04VLqD
1990,8,Tom Jones,I'll Never Fall In Love Again,1969,1T0wRBO0CK0vK8ouUMqEl5
1991,9,Foundations,Build Me Up Buttercup,1969,4GITZM5LCR2KcdlgEOrNLD
1992,10,Tommy James and The Shondells,Crimson And Clover,1969,01hRNr3yF5bYnPq4wZ88iI
1993,11,Three Dog Night,One,1969,4FAEZeJcsYYBkNq2D3KGTV
1994,12,Tommy James and The Shondells,Crystal Blue Persuasion,1969,01hRNr3yF5bYnPq4wZ88iI
1995,13,Cowsills,Hair,1969,4ZSzroBNV7HzBDO9aohuF1
1996,14,Marvin Gaye,Too Busy Thinking About My Baby,1969,3koiLjNrgRTNbOwViDipeA
1997,15,Henry Mancini and His Orchestra,Love Theme From Romeo And Juliet,1969,3hrkQuyYjHArfBoiB5TYVO
1998,16,Youngbloods,Get Together,1969,5I6MzhNEMk27cZsCqGAIYo
1999,17,Friends Of Distinction,Grazin' In The Grass,1969,2KK4fR5VwOjGzJxjbGxMIu
2000,18,Elvis Presley,Suspicious Minds,1969,43ZHCT0cAZBISjO8DG9PnE
2001,19,Creedence Clearwater Revival,Proud Mary,1969,3IYUhFvPQItj6xySrBmZkd
2002,20,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969,1rHh0AI30JhKrbzKIFjFNd
2003,21,Isley Brothers,It's Your Thing,1969,53QzNeFpzAaXYnrDBbDrIp
2004,22,Neil Diamond,Sweet Caroline,1969,7mEIug7XUlQHikrFxjTWes
2005,23,Oliver,Jean,1969,6TLwD7HPWuiOzvXEa3oCNe
2006,24,Creedence Clearwater Revival,Bad Moon Rising,1969,3IYUhFvPQItj6xySrBmZkd
2007,25,Beatles,Get Back,1969,3WrFJ7ztbogyGnTHbHJFl2
2008,26,Zager and Evans,In The Year 2525,1969,55IyYO6fmYpYw6Nd4YF7bw
2009,27,"Blood, Sweat and Tears",Spinning Wheel,1969,24GaH9tRBgZjlvOhpFuKi2
2010,28,Andy Kim,"Baby, I Love You",1969,5MYBNUKoFf9LAg30ByaBli
2011,29,Friends Of Distinction,Going In Circles,1969,2KK4fR5VwOjGzJxjbGxMIu
2012,30,Lettermen,Hurt So Bad,1969,3lzlUccNrekC1oFPCjNIOX
2013,31,Creedence Clearwater Revival,Green River,1969,3IYUhFvPQItj6xySrBmZkd
2014,32,Stevie Wonder,My Cherie Amour,1969,7guDJrEfX3qb6FEbdPA5qi
2015,33,Three Dog Night,Easy To Be Hard,1969,4FAEZeJcsYYBkNq2D3KGTV
2016,34,Smith,Baby It's You,1969,2wY79sveU1sp5g7SokKOiI
2017,35,Elvis Presley,In The Ghetto,1969,43ZHCT0cAZBISjO8DG9PnE
2018,36,Johnny Cash,A Boy Named Sue,1969,6kACVPfCOnqzgfEF5ryl0x
2019,37,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1969,6TKOZZDd5uV5KnyC5G4MUt
2020,38,Jerry Butler,Only The Strong Survive,1969,0U2mUJuJkthantMGmsJygP
2021,39,Zombies,Time Of The Season,1969,1dqGS5sT6PE2wEvP1gROZC
2022,40,Fifth Dimension,Wedding Bell Blues,1969,1UUYAQ9LiRsZF0ZukQNWXM
2023,41,Bobby Sherman,Little Woman,1969,5Rsz3E1aovbqsmLQOxgK2y
2024,42,Mercy,Love (Can Make You Happy),1969,2UvzehEVGcYTPKNwJSZ2kM
2025,43,Oliver,Good Morning Starshine,1969,6TLwD7HPWuiOzvXEa3oCNe
2026,44,Guess Who,These Eyes,1969,0cQuYRSzlItquYxsQKDvVc
2027,45,"Blood, Sweat and Tears",You've Made Me So Very Happy,1969,24GaH9tRBgZjlvOhpFuKi2
2028,46,Jackie DeShannon,Put A Little Love In Your Heart,1969,0iVed2Qu7dmL0pIYCj1Xw8
2029,47,Watts 103rd Street Rhythm Band,Do Your Thing,1969,2t0kaaDtGZtmpczIAMaVTQ
2030,48,Grass Roots,I'd Wait A Million Years,1969,2IU5UBup85LmAXh5U36DeC
2031,49,Doors,Touch Me,1969,22WZ7M8sxp5THdruNY3gXt
2032,50,Spiral Starecase,More Today Than Yesterday,1969,2L0rKeh177ttxZoNvefdbX
2033,51,Sammy Davis Jr.,I've Gotta Be Me,1969,1NAWG3AngjBXyKbmPaz92D
2034,52,Bob Dylan,Lay Lady Lay,1969,74ASZWbe4lXaubB36ztrGX
2035,53,Donovan,Atlantis,1969,6vLlQYujOujIrm7zAKzEdG
2036,54,Dennis Yost and The Classics IV,Traces,1969,5VNF49YJ7SbLABL8qv6s91
2037,55,Mama Cass Elliot,It's Getting Better,1969,5jX7X3kRkfJTRqAdT7RcHk
2038,56,Jay and The Americans,This Magic Moment,1969,0DAqhikcMKLo2lPADVz2fs
2039,57,Temptations,"Run Away Child, Running Wild",1969,3RwQ26hR2tJtA8F9p2n7jG
2040,58,Ventures,Hawaii Five-O,1969,2GaayiIs1kcyNqRXQuzp35
2041,59,Glen Campbell,Galveston,1969,59hLmB5DrdihCYtNeFeW1U
2042,60,Lou Christie,I'm Gonna Make You Mine,1969,5bLcI9Jo6RyrrHzG9veVyn
2043,61,Ray Stevens,Gitarzan,1969,7MpUvihmfilIxyN20kXwQj
2044,62,Tyrone Davis,Can I Change My Mind,1969,76agLI5oSCFbmZnBqKcBJd
2045,63,Booker T and The MG's,Time Is Tight,1969,3XlKKsyeuAlfnDGvHuCnav
2046,64,Dionne Warwick,This Girl's In Love With You,1969,2JSjCHK79gdaiPWdKiNUNp
2047,65,Winstons,Color Him Father,1969,1VePrTOSgCLcaBecBs7i2q
2048,66,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969,6MzXVudQckRxZ9J0o0B5aQ
2049,67,1910 Fruitgum Company,Indian Giver,1969,17vIaBTHJOVxnU4v7t1DiY
2050,68,James Brown,Mother Popcorn (Part I),1969,7GaxyUddsPok8BuhxN6OUW
2051,69,Edwin Starr,Twenty-five Miles,1969,1B8AXU6gIIafpyLEpbcv1u
2052,70,New Colony Six,Things I'd Like To Say,1969,2y2vaJMlqKJEAW84HUf98H
2053,71,Motherlode,When I Die,1969,24uSD486ywQ4VJ2OMDXv8y
2054,72,Marvin Gaye,That's The Way Love Is,1969,3koiLjNrgRTNbOwViDipeA
2055,73,Nilsson,Everybody's Talkin',1969,3RTzAwFprBqiskp550eSJX
2056,74,Brooklyn Bridge,Worst That Could Happen,1969,56ddI2AjByeSuOtUyWeGUc
2057,75,Joe Simon,Chokin' Kind,1969,5HRSYURV6LFFRCjAtiK0py
2058,76,Flying Machine,Smile A Little Smile For Me,1969,1IAnol1a8KjeHfkSOaFe2S
2059,77,Tony Joe White,Polk Salad Annie,1969,6QvgWa4x3Ij4tvBpFMo11P
2060,78,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969,0WjkBDqno4HbjwNDqyMgVa
2061,79,Joe South,Games People Play,1969,7s2L0cftC6UBVVxADuyfwS
2062,80,Turtles,You Showed Me,1969,3GjVVVcFmUgEJEAAsbGkf4
2063,81,Cuff Links,Tracy,1969,6Mclb7jE8KQ632hX4V2wHu
2064,82,Dells,"Oh, What A Night",1969,0wbrRIw2po5DV4LeaHw55S
2065,83,Beatles,Something,1969,3WrFJ7ztbogyGnTHbHJFl2
2066,84,Gary Puckett and The Union Gap,This Girl Is A Woman Now,1969,4asCC4oxQcDzFXhCth2SgQ
2067,85,Beatles,Come Together,1969,3WrFJ7ztbogyGnTHbHJFl2
2068,86,Seger System,Ramblin' Gamblin' Man Bob,1969,485uL27bPomh29R4JmQehQ
2069,87,Diana Ross and The Supremes,I'm Gonna Make You Love Me,1969,0rXI0q8Cahq6numvPlloaq
2070,88,Marvin Gaye,I Heard It Through The Grapevine,1969,3koiLjNrgRTNbOwViDipeA
2071,89,Crazy Elephant,Gimme Gimme Good Lovin',1969,7bp2mrTNmrjp69DS3EKL4K
2072,90,Booker T and The MG's,Hang 'Em High,1969,3XlKKsyeuAlfnDGvHuCnav
2073,91,Lou Rawls,Your Good Thing (Is About To End),1969,1zJBFCev9UwOMcrZsLi2od
2074,92,Originals,Baby I'm For Real,1969,422gtj7D6L6pvr0GE08lwf
2075,93,Edwin Hawkins Singers,Oh Happy Day,1969,0lEzfSVcNRLDUKdI7fBDD3
2076,94,Tom Jones,Love Me Tonight,1969,1T0wRBO0CK0vK8ouUMqEl5
2077,95,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969,32HPpJAhgnGPT3V7UOggzi
2078,96,Guess Who,Laughing,1969,0cQuYRSzlItquYxsQKDvVc
2079,97,David Ruffin,My Whole World Ended (The Moment You Left Me),1969,3FZn8Z2B7mfaSOU8NE62KR
2080,98,Box Tops,Soul Deep,1969,3KGQvnOoqUHi3KxKQMZtXr
2081,99,B.J. Thomas,Hooked On A Feeling,1969,0uUNzXylqsZdmFDwdxaP1V
2082,100,Box Tops,Sweet Cream Ladies,1969,3KGQvnOoqUHi3KxKQMZtXr
2083,1,Simon and Garfunkel,Bridge Over Troubled Water,1970,70cRZdQywnSFp9pnc2WTCE
2084,2,Carpenters,(They Long To Be) Close To You,1970,1eEfMU2AhEo7XnKgL7c304
2085,3,Guess Who,American Woman / No Sugar Tonight,1970,0cQuYRSzlItquYxsQKDvVc
2086,4,B.J. Thomas,Raindrops Keep Fallin' On My Head,1970,0uUNzXylqsZdmFDwdxaP1V
2087,5,Edwin Starr,War,1970,1B8AXU6gIIafpyLEpbcv1u
2088,6,Diana Ross,Ain't No Mountain High Enough,1970,3MdG05syQeRYPPcClLaUGl
2089,7,Jackson 5,I'll Be There,1970,2iE18Oxc8YSumAU232n4rW
2090,8,Rare Earth,Get Ready,1970,6eEsIl4wosvhuWI0mfXxAF
2091,9,Beatles,Let It Be,1970,3WrFJ7ztbogyGnTHbHJFl2
2092,10,Freda Payne,Band Of Gold,1970,0701Axu6yvUIoctaKMbDIZ
2093,11,Three Dog Night,Mama Told Me (Not To Come),1970,4FAEZeJcsYYBkNq2D3KGTV
2094,12,Ray Stevens,Everything Is Beautiful,1970,7MpUvihmfilIxyN20kXwQj
2095,13,Bread,Make It With You,1970,70ZTdbPEcEugBNay4MvxfL
2096,14,Vanity Fair,Hitchin' A Ride,1970,6KSay1IvkOJYxd7Pwh5pmn
2097,15,Jackson 5,ABC,1970,2iE18Oxc8YSumAU232n4rW
2098,16,Jackson 5,The Love You Save / I Found That Girl,1970,2iE18Oxc8YSumAU232n4rW
2099,17,Neil Diamond,Cracklin' Rose,1970,7mEIug7XUlQHikrFxjTWes
2100,18,Dawn,Candida,1970,6MzxeKydmXufvX7HYPknFW
2101,19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star,1970,5m8H6zSadhu1j9Yi04VLqD
2102,20,Eric Burdon and War,Spill The Wine,1970,0kfkq32zEuXK538yWZlCOE
2103,21,Five Stairsteps and Cubie,O-o-h Child / Dear Prudence,1970,3Inrg8cs8oc4q8oPES4a6S
2104,22,Norman Greenbaum,Spirit In The Sky,1970,7f8LNBVXN0h35veHrpxQFL
2105,23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),1970,63yrD80RY3RNEM2YDpUpO8
2106,24,Temptations,Ball Of Confusion (That's What The World Is Today),1970,3RwQ26hR2tJtA8F9p2n7jG
2107,25,Moments,Love On A Two Way Street,1970,6avGAzQTmqu8mfSmZrN7gT
2108,26,Poppy Family,Which Way You Goin' Billy?,1970,0XawOhZ28ajmIWwPpRJuDA
2109,27,Free,All Right Now,1970,7m4gF38CPATtHrk5HS42WZ
2110,28,Jackson 5,I Want You Back,1970,2iE18Oxc8YSumAU232n4rW
2111,29,Bobby Sherman,"Julie, Do Ya Love Me",1970,5Rsz3E1aovbqsmLQOxgK2y
2112,30,Sugarloaf,Green-eyed Lady,1970,1T3RPiMH711kvoXymKUTYH
2113,31,Stevie Wonder,"Signed Sealed, Delivered (I'm Yours)",1970,7guDJrEfX3qb6FEbdPA5qi
2114,32,Blues Image,Ride Captain Ride,1970,3qP1yR7s0FAKMjEw99p6wE
2115,33,Shocking Blue,Venus,1970,5WimOFbBnCU5wI6t5PPpEk
2116,34,John Ono Lennon,Instant Karma (We All Shine On),1970,4LjrTfWcvqeHDcH6kr2Msd
2117,35,Clarence Carter,Patches,1970,7lffJlv0nRl0sIsHDmo0SB
2118,36,Creedence Clearwater Revival,Lookin' Out My Back Door / Long As I Can See The Light,1970,3IYUhFvPQItj6xySrBmZkd
2119,37,Brook Benton,Rainy Night In Georgia,1970,2ttm3uT0N1RN7vwKv1pQgh
2120,38,Kenny Rogers and The First Edition,Something's Burning,1970,0WjkBDqno4HbjwNDqyMgVa
2121,39,Chairmen Of The Board,Give Me Just A Little More Time,1970,19KsPOZRHLv7RZbLiKpqbH
2122,40,Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970,1NRzxuPpdGushT8YmF5NAa
2123,41,Beatles,The Long And Winding Road / For You Blue,1970,3WrFJ7ztbogyGnTHbHJFl2
2124,42,Anne Murray,Snowbird,1970,7d7q5Y1p2QWS4QRAhTQR5E
2125,43,Marmalade,Reflections Of My Life,1970,1tttI1iC4FsS6BM5l38oe5
2126,44,Eddie Holman,Hey There Lonely Girl,1970,4hLuzWVCPicO3nNHfFvB32
2127,45,Jaggerz,The Rapper,1970,05aFikcWbrmnDKsCHaH0Ce
2128,46,Hollies,"He Ain't Heavy, He's My Brother",1970,6waa8mKu91GjzD4NlONlNJ
2129,47,Alive and Kicking,"Tighter, Tighter",1970,5pjCYG6hPLBO3y4swxu3dh
2130,48,Badfinger,Come And Get It,1970,4pJCawaKSZ40EnxN0YEYw3
2131,49,Simon and Garfunkel,Cecelia,1970,70cRZdQywnSFp9pnc2WTCE
2132,50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,1970,2t0kaaDtGZtmpczIAMaVTQ
2133,51,Tyrone Davis,Turn Back The Hands Of Time,1970,76agLI5oSCFbmZnBqKcBJd
2134,52,Kinks,Lola,1970,1SQRv42e4PjEYfPhS0Tk9E
2135,53,Mungo Jerry,In The Summertime,1970,2mbvqMGpwLsakeH45p1Jrb
2136,54,R. Dean Taylor,Indiana Wants Me,1970,4Yg38CnYMoN09sMLf6KDdW
2137,55,Rare Earth,(I Know) I'm Losing You,1970,6eEsIl4wosvhuWI0mfXxAF
2138,56,Bobby Sherman,"Easy Come, Easy Go",1970,5Rsz3E1aovbqsmLQOxgK2y
2139,57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,2t0kaaDtGZtmpczIAMaVTQ
2140,58,Four Tops,Still Water (Love),1970,7fIvjotigTGWqjIz6EP1i4
2141,59,Chicago,Make Me Smile,1970,3iDD7bnsjL9J4fO298r0L0
2142,60,Frijid Pink,House Of The Rising Sun,1970,0K24Tk5QTxx6tkcCdnY3Od
2143,61,Chicago,25 Or 6 To 4,1970,3iDD7bnsjL9J4fO298r0L0
2144,62,White Plains,My Baby Loves Lovin',1970,0xWTQw2TL6j7mHGOTltsEW
2145,63,Friends Of Distinction,Love Or Let Me Be Lonely,1970,2KK4fR5VwOjGzJxjbGxMIu
2146,64,Brotherhood Of Man,United We Stand,1970,4Cyr5aqgXza16isOrQNOvo
2147,65,Carpenters,We've Only Just Begun,1970,1eEfMU2AhEo7XnKgL7c304
2148,66,Mark Lindsay,Arizona,1970,7kEOMdsEmZkTHgA4ibDz4h
2149,67,James Taylor,Fire And Rain,1970,0vn7UBvSQECKJm2817Yf1P
2150,68,Gene Chandler,Groovy Situation,1970,52uMkSFt2RVO6XxTEt5VeW
2151,69,Santana,Evil Ways,1970,6GI52t8N5F02MxU0g5U69P
2152,70,Guess Who,No Time,1970,0cQuYRSzlItquYxsQKDvVc
2153,71,Delfonics,Didn't I (Blow Your Mind This Time),1970,6YPRXu1dazGYcSZv4HJEH4
